Date,Open,Close
2015-12-31,80.73,80.76
2016-01-04,80.79,80.72
2016-01-05,80.76,80.82
2016-01-06,81.03,81.18
2016-01-07,81.12,81.19
2016-01-08,81.14,81.29
2016-01-11,81.11,80.95
2016-01-12,81.08,81.16
2016-01-13,81.2,81.36
2016-01-14,81.34,81.26
2016-01-15,81.5,81.4
2016-01-19,81.4,81.3
2016-01-20,81.53,81.39
2016-01-21,81.53,81.34
2016-01-22,81.32,81.31
2016-01-25,81.4,81.31
2016-01-26,81.41,81.43
2016-01-27,81.35,81.43
2016-01-28,81.41,81.49
2016-01-29,81.76,81.73
2016-02-01,81.52,81.39
2016-02-02,81.67,81.67
2016-02-03,81.66,81.73
2016-02-04,81.74,81.79
2016-02-05,81.7,81.71
2016-02-08,81.92,82.06
2016-02-09,82.21,82.05
2016-02-10,82.1,82.22
2016-02-11,82.5,82.27
2016-02-12,82.16,82.0
2016-02-16,81.89,81.88
2016-02-17,81.81,81.86
2016-02-18,81.86,82.14
2016-02-19,82.06,82.03
2016-02-22,82.05,82.05
2016-02-23,81.94,82.1
2016-02-24,82.24,82.16
2016-02-25,82.24,82.28
2016-02-26,82.12,82.2
2016-02-29,82.13,82.25
2016-03-01,82.17,81.81
2016-03-02,81.75,81.76
2016-03-03,81.78,81.8
2016-03-04,81.85,81.76
2016-03-07,81.71,81.74
2016-03-08,82.07,82.01
2016-03-09,81.89,81.87
2016-03-10,81.96,81.83
2016-03-11,81.9,81.72
2016-03-14,81.83,81.9
2016-03-15,81.98,81.82
2016-03-16,81.76,82.14
2016-03-17,82.21,82.32
2016-03-18,82.39,82.39
2016-03-21,82.3,82.24
2016-03-22,82.39,82.22
2016-03-23,82.27,82.4
2016-03-24,82.52,82.3
2016-03-28,82.29,82.34
2016-03-29,82.45,82.68
2016-03-30,82.63,82.65
2016-03-31,82.72,82.81
2016-04-01,82.65,82.73
2016-04-04,82.77,82.73
2016-04-05,82.96,82.88
2016-04-06,82.9,82.84
2016-04-07,83.08,83.11
2016-04-08,83.06,83.04
2016-04-11,82.99,83.03
2016-04-12,82.92,82.9
2016-04-13,82.87,82.95
2016-04-14,82.95,82.88
2016-04-15,82.99,83.07
2016-04-18,83.02,83.04
2016-04-19,83.04,83.09
2016-04-20,83.11,82.86
2016-04-21,82.8,82.76
2016-04-22,82.82,82.73
2016-04-25,82.72,82.63
2016-04-26,82.67,82.51
2016-04-27,82.61,82.76
2016-04-28,82.78,82.91
2016-04-29,82.87,82.97
2016-05-02,82.78,82.66
2016-05-03,82.95,82.89
2016-05-04,82.94,82.92
2016-05-05,82.96,83.07
2016-05-06,83.07,83.03
2016-05-09,83.11,83.09
2016-05-10,83.09,83.09
2016-05-11,83.14,83.11
2016-05-12,83.1,83.12
2016-05-13,83.16,83.21
2016-05-16,83.15,83.03
2016-05-17,83.13,82.97
2016-05-18,82.92,82.58
2016-05-19,82.63,82.67
2016-05-20,82.66,82.67
2016-05-23,82.73,82.69
2016-05-24,82.69,82.65
2016-05-25,82.67,82.62
2016-05-26,82.72,82.76
2016-05-27,82.8,82.73
2016-05-31,82.66,82.8
2016-06-01,82.74,82.66
2016-06-02,82.75,82.82
2016-06-03,83.22,83.34
2016-06-06,83.23,83.21
2016-06-07,83.28,83.22
2016-06-08,83.3,83.32
2016-06-09,83.47,83.4
2016-06-10,83.49,83.48
2016-06-13,83.56,83.5
2016-06-14,83.62,83.49
2016-06-15,83.56,83.68
2016-06-16,83.82,83.77
2016-06-17,83.71,83.65
2016-06-20,83.48,83.46
2016-06-21,83.48,83.35
2016-06-22,83.38,83.38
2016-06-23,83.27,83.23
2016-06-24,83.84,83.7
2016-06-27,84.16,84.12
2016-06-28,84.25,84.22
2016-06-29,84.32,84.19
2016-06-30,84.21,84.3
2016-07-01,84.44,84.37
2016-07-05,84.6,84.66
2016-07-06,84.74,84.81
2016-07-07,84.67,84.67
2016-07-08,84.8,84.89
2016-07-11,84.81,84.64
2016-07-12,84.53,84.3
2016-07-13,84.51,84.45
2016-07-14,84.3,84.32
2016-07-15,84.26,84.05
2016-07-18,84.2,84.08
2016-07-19,84.17,84.21
2016-07-20,84.16,84.12
2016-07-21,84.05,84.22
2016-07-22,84.14,84.23
2016-07-25,84.23,84.18
2016-07-26,84.27,84.17
2016-07-27,84.22,84.42
2016-07-28,84.36,84.37
2016-07-29,84.49,84.64
2016-08-01,84.25,84.21
2016-08-02,84.18,84.13
2016-08-03,84.13,84.13
2016-08-04,84.27,84.28
2016-08-05,84.25,84.0
2016-08-08,83.96,84.01
2016-08-09,84.06,84.25
2016-08-10,84.31,84.36
2016-08-11,84.39,84.14
2016-08-12,84.41,84.33
2016-08-15,84.22,84.19
2016-08-16,84.22,84.15
2016-08-17,84.19,84.28
2016-08-18,84.32,84.37
2016-08-19,84.22,84.2
2016-08-22,84.29,84.32
2016-08-23,84.44,84.36
2016-08-24,84.43,84.35
2016-08-25,84.32,84.26
2016-08-26,84.38,84.05
2016-08-29,84.23,84.34
2016-08-30,84.36,84.27
2016-08-31,84.3,84.21
2016-09-01,83.9,84.16
2016-09-02,84.13,84.04
2016-09-06,84.1,84.29
2016-09-07,84.4,84.3
2016-09-08,84.17,83.98
2016-09-09,83.71,83.61
2016-09-12,83.55,83.64
2016-09-13,83.77,83.4
2016-09-14,83.42,83.51
2016-09-15,83.47,83.58
2016-09-16,83.65,83.65
2016-09-19,83.64,83.59
2016-09-20,83.66,83.61
2016-09-21,83.55,83.85
2016-09-22,83.94,84.02
2016-09-23,84.03,84.0
2016-09-26,84.08,84.14
2016-09-27,84.26,84.24
2016-09-28,84.24,84.24
2016-09-29,84.14,84.25
2016-09-30,84.25,84.14
2016-10-03,83.95,83.89
2016-10-04,83.84,83.61
2016-10-05,83.66,83.47
2016-10-06,83.46,83.44
2016-10-07,83.52,83.51
2016-10-10,83.38,83.42
2016-10-11,83.38,83.29
2016-10-12,83.3,83.34
2016-10-13,83.52,83.44
2016-10-14,83.34,83.27
2016-10-17,83.33,83.45
2016-10-18,83.38,83.56
2016-10-19,83.51,83.62
2016-10-20,83.63,83.57
2016-10-21,83.6,83.64
2016-10-24,83.65,83.52
2016-10-25,83.48,83.52
2016-10-26,83.39,83.37
2016-10-27,83.17,83.14
2016-10-28,83.09,83.1
2016-10-31,83.21,83.19
2016-11-01,82.89,83.0
2016-11-02,83.06,83.08
2016-11-03,83.06,83.03
2016-11-04,83.08,83.18
2016-11-07,83.16,83.07
2016-11-08,83.12,82.92
2016-11-09,82.5,82.1
2016-11-10,81.99,81.75
2016-11-11,81.72,81.6
2016-11-14,81.44,81.29
2016-11-15,81.43,81.4
2016-11-16,81.47,81.57
2016-11-17,81.44,81.24
2016-11-18,81.28,81.04
2016-11-21,81.1,81.03
2016-11-22,81.19,81.1
2016-11-23,80.89,80.89
2016-11-25,80.91,80.92
2016-11-28,81.01,81.11
2016-11-29,81.01,81.17
2016-11-30,80.93,80.89
2016-12-01,80.48,80.43
2016-12-02,80.62,80.72
2016-12-05,80.6,80.82
2016-12-06,80.85,80.81
2016-12-07,80.93,81.0
2016-12-08,80.89,80.84
2016-12-09,80.8,80.6
2016-12-12,80.5,80.51
