Date,Open,Close
2018-01-02,55.09,55.32
2018-01-03,55.38,56.34
2018-01-04,56.41,56.99
2018-01-05,56.68,56.88
2018-01-08,56.76,57.46
2018-01-09,57.47,57.93
2018-01-10,58.14,57.65
2018-01-11,58.17,59.18
2018-01-12,59.39,60.05
2018-01-16,60.0,58.84
2018-01-17,58.97,59.86
2018-01-18,59.62,59.76
2018-01-19,59.68,59.75
2018-01-22,59.86,60.67
2018-01-23,60.61,60.47
2018-01-24,60.54,60.49
2018-01-25,60.75,59.48
2018-01-26,59.7,60.39
2018-01-29,59.92,59.66
2018-01-30,58.94,58.46
2018-01-31,58.53,58.81
2018-02-01,59.0,59.35
2018-02-02,59.17,57.72
2018-02-05,57.14,55.94
2018-02-06,54.75,55.94
2018-02-07,56.06,55.63
2018-02-08,55.62,53.24
2018-02-09,53.24,52.02
2018-02-12,52.63,53.41
2018-02-13,52.93,53.32
2018-02-14,52.7,55.51
2018-02-15,55.64,54.54
2018-02-16,54.39,54.65
2018-02-20,54.6,54.84
2018-02-21,54.59,53.75
2018-02-22,54.26,54.91
2018-02-23,55.35,57.05
2018-02-26,57.26,56.59
2018-02-27,56.5,55.83
2018-02-28,56.02,54.31
2018-03-01,54.5,53.88
2018-03-02,53.54,54.06
2018-03-05,53.49,53.99
2018-03-06,54.28,54.06
2018-03-07,53.31,54.07
2018-03-08,54.13,53.57
2018-03-09,54.07,55.06
2018-03-12,55.01,54.74
2018-03-13,54.94,53.96
2018-03-14,54.34,53.96
2018-03-15,54.31,54.03
2018-03-16,54.11,54.93
2018-03-19,54.76,53.57
2018-03-20,54.1,54.7
2018-03-21,55.1,57.04
2018-03-22,56.41,56.5
2018-03-23,57.04,57.74
2018-03-26,58.37,59.08
2018-03-27,59.15,59.14
2018-03-28,59.16,58.73
2018-03-29,58.74,59.29
2018-04-02,59.27,58.09
2018-04-03,58.54,60.03
2018-04-04,58.82,59.56
2018-04-05,59.83,60.46
2018-04-06,60.21,59.26
2018-04-09,59.86,60.62
2018-04-10,61.44,62.34
2018-04-11,62.3,63.23
2018-04-12,63.29,63.24
2018-04-13,63.95,64.9
2018-04-16,64.97,65.73
2018-04-17,65.92,66.51
2018-04-18,67.0,66.42
2018-04-19,65.89,66.31
2018-04-20,65.85,65.79
2018-04-23,65.58,65.48
2018-04-24,66.0,65.31
2018-04-25,64.96,65.06
2018-04-26,65.75,66.97
2018-04-27,66.43,64.95
2018-04-30,64.88,65.5
2018-05-01,65.05,65.71
2018-05-02,65.18,65.45
2018-05-03,64.9,65.99
2018-05-04,66.0,66.86
2018-05-07,67.27,66.77
2018-05-08,66.8,67.74
2018-05-09,68.61,68.7
2018-05-10,69.46,69.34
2018-05-11,69.12,69.44
2018-05-14,69.5,69.59
2018-05-15,69.55,70.09
2018-05-16,70.0,69.85
2018-05-17,70.2,70.66
2018-05-18,70.5,69.55
2018-05-21,70.0,70.66
2018-05-22,70.77,70.13
2018-05-23,69.62,69.12
2018-05-24,68.0,68.45
2018-05-25,66.8,65.47
2018-05-29,64.8,65.71
2018-05-30,66.34,68.05
2018-05-31,67.58,67.39
2018-06-01,67.76,68.29
2018-06-04,68.95,67.9
2018-06-05,67.72,67.56
2018-06-06,67.71,67.88
2018-06-07,68.5,69.48
2018-06-08,69.98,69.43
2018-06-11,69.96,70.49
2018-06-12,70.07,69.43
2018-06-13,69.35,69.62
2018-06-14,69.99,68.13
2018-06-15,67.45,65.36
2018-06-18,65.57,66.6
2018-06-19,65.72,66.26
2018-06-20,67.16,67.47
2018-06-21,66.86,65.11
2018-06-22,67.47,67.78
2018-06-25,67.79,66.14
2018-06-26,66.41,67.34
2018-06-27,68.23,68.74
2018-06-28,69.3,68.41
