Date,Open,Close
2015-12-31,32.29,32.19
2016-01-04,31.35,31.31
2016-01-05,31.45,31.38
2016-01-06,30.79,30.78
2016-01-07,29.99,29.83
2016-01-08,30.03,29.51
2016-01-11,29.79,29.5
2016-01-12,29.71,29.56
2016-01-13,29.9,29.25
2016-01-14,29.28,29.63
2016-01-15,28.47,28.46
2016-01-19,29.2,28.88
2016-01-20,28.17,28.25
2016-01-21,28.24,28.36
2016-01-22,29.26,29.33
2016-01-25,29.13,28.83
2016-01-26,28.99,29.25
2016-01-27,29.24,29.15
2016-01-28,29.72,29.61
2016-01-29,30.08,30.57
2016-02-01,30.06,30.28
2016-02-02,29.78,29.3
2016-02-03,29.61,30.13
2016-02-04,30.36,30.36
2016-02-05,30.24,30.01
2016-02-08,29.55,29.6
2016-02-09,29.04,29.19
2016-02-10,29.52,29.31
2016-02-11,28.72,28.82
2016-02-12,29.07,29.32
2016-02-16,29.87,29.97
2016-02-17,30.24,30.56
2016-02-18,30.67,30.38
2016-02-19,30.19,30.24
2016-02-22,30.75,30.99
2016-02-23,30.64,30.33
2016-02-24,29.84,30.26
2016-02-25,30.22,30.36
2016-02-26,30.56,30.06
2016-02-29,30.36,30.32
2016-03-01,30.9,31.4
2016-03-02,31.44,31.82
2016-03-03,31.85,32.18
2016-03-04,32.49,32.82
2016-03-07,32.5,32.77
2016-03-08,32.37,32.21
2016-03-09,32.42,32.41
2016-03-10,32.6,32.46
2016-03-11,32.95,33.14
2016-03-14,33.03,32.94
2016-03-15,32.44,32.47
2016-03-16,32.21,33.12
2016-03-17,33.57,33.85
2016-03-18,34.02,34.03
2016-03-21,33.99,34.1
2016-03-22,33.8,34.02
2016-03-23,33.74,33.44
2016-03-24,33.08,33.36
2016-03-28,33.38,33.47
2016-03-29,33.47,33.93
2016-03-30,34.44,34.28
2016-03-31,34.4,34.25
2016-04-01,33.52,34.15
2016-04-04,34.13,33.74
2016-04-05,33.21,33.08
2016-04-06,32.99,33.48
2016-04-07,33.04,32.81
2016-04-08,33.53,33.38
2016-04-11,33.93,33.81
2016-04-12,33.81,34.33
2016-04-13,34.88,34.94
2016-04-14,34.88,34.77
2016-04-15,34.73,34.57
2016-04-18,34.45,34.73
2016-04-19,35.07,35.26
2016-04-20,34.98,35.1
2016-04-21,35.01,34.75
2016-04-22,34.61,34.54
2016-04-25,34.52,34.32
2016-04-26,34.58,34.69
2016-04-27,34.55,34.9
2016-04-28,34.55,34.54
2016-04-29,34.54,34.39
2016-05-02,34.39,34.3
2016-05-03,33.65,33.33
2016-05-04,33.12,32.79
2016-05-05,33.11,32.78
2016-05-06,32.67,32.83
2016-05-09,32.76,32.41
2016-05-10,32.77,33.03
2016-05-11,33.0,32.95
2016-05-12,33.14,32.86
2016-05-13,32.58,32.27
2016-05-16,32.59,32.66
2016-05-17,32.59,32.51
2016-05-18,32.29,32.19
2016-05-19,31.92,31.89
2016-05-20,32.19,32.21
2016-05-23,32.14,32.15
2016-05-24,32.32,32.48
2016-05-25,32.79,32.87
2016-05-26,33.13,33.09
2016-05-27,33.21,33.08
2016-05-31,33.16,33.12
2016-06-01,32.99,33.1
