Date,Open,Close
2018-01-02,12.52,12.66
2018-01-03,12.68,12.76
2018-01-04,12.78,12.98
2018-01-05,13.06,13.2
2018-01-08,13.21,13.15
2018-01-09,13.18,13.08
2018-01-10,13.06,13.03
2018-01-11,13.02,13.16
2018-01-12,13.1,13.23
2018-01-16,13.31,13.1
2018-01-17,12.58,12.18
2018-01-18,12.18,12.07
2018-01-19,12.12,12.0
2018-01-22,12.02,12.02
2018-01-23,12.03,11.96
2018-01-24,12.0,12.05
2018-01-25,11.93,11.57
2018-01-26,11.59,11.65
2018-01-29,11.42,11.12
2018-01-30,11.09,11.06
2018-01-31,11.09,10.97
2018-02-01,10.95,10.92
2018-02-02,10.88,10.71
2018-02-05,10.78,10.24
2018-02-06,10.27,10.76
2018-02-07,10.75,10.76
2018-02-08,10.79,10.43
2018-02-09,10.57,10.53
2018-02-12,10.67,10.7
2018-02-13,10.63,10.59
2018-02-14,10.55,10.74
2018-02-15,10.8,10.76
2018-02-16,10.7,10.61
2018-02-20,10.58,10.63
2018-02-21,10.65,10.6
2018-02-22,10.6,10.63
2018-02-23,10.67,10.7
2018-02-26,10.74,10.89
2018-02-27,10.93,10.61
2018-02-28,10.68,10.61
2018-03-01,10.65,10.29
2018-03-02,10.24,10.4
2018-03-05,10.31,10.58
2018-03-06,10.65,10.63
2018-03-07,10.51,10.63
2018-03-08,10.65,10.61
2018-03-09,10.63,10.73
2018-03-12,10.69,10.81
2018-03-13,10.84,10.78
2018-03-14,11.25,11.02
2018-03-15,11.05,11.07
2018-03-16,11.12,11.15
2018-03-19,11.15,11.01
2018-03-20,11.05,10.99
2018-03-21,11.0,11.1
2018-03-22,11.0,10.75
2018-03-23,10.79,10.56
2018-03-26,10.74,10.83
2018-03-27,10.85,10.83
2018-03-28,10.83,10.86
2018-03-29,10.93,11.08
2018-04-02,11.06,10.86
2018-04-03,11.01,11.15
2018-04-04,10.87,11.33
2018-04-05,11.34,11.35
2018-04-06,11.28,11.18
2018-04-09,11.25,11.25
2018-04-10,11.44,11.45
2018-04-11,11.38,11.43
2018-04-12,11.5,11.31
2018-04-13,11.35,11.28
2018-04-16,11.36,11.38
2018-04-17,11.43,11.38
2018-04-18,11.38,11.33
2018-04-19,11.18,10.96
2018-04-20,11.01,10.82
2018-04-23,10.84,11.04
2018-04-24,11.05,10.96
2018-04-25,10.96,11.11
2018-04-26,11.42,11.43
2018-04-27,11.4,11.49
2018-04-30,11.53,11.24
2018-05-01,11.25,11.26
2018-05-02,11.26,11.21
2018-05-03,11.17,11.2
2018-05-04,11.16,11.36
2018-05-07,11.36,11.34
2018-05-08,11.32,11.27
2018-05-09,11.21,11.06
2018-05-10,11.04,11.21
2018-05-11,11.22,11.19
2018-05-14,11.23,11.18
2018-05-15,11.1,11.22
2018-05-16,11.21,11.4
2018-05-17,11.4,11.46
2018-05-18,11.44,11.33
2018-05-21,11.42,11.51
2018-05-22,11.58,11.52
2018-05-23,11.5,11.44
2018-05-24,11.45,11.62
2018-05-25,11.56,11.51
2018-05-29,11.6,11.44
2018-05-30,11.53,11.55
2018-05-31,11.65,11.55
2018-06-01,11.67,11.71
2018-06-04,11.74,11.74
2018-06-05,11.74,11.83
2018-06-06,11.87,11.97
2018-06-07,11.97,12.03
2018-06-08,12.04,12.1
2018-06-11,12.1,12.03
2018-06-12,12.07,12.11
2018-06-13,12.1,12.02
