Date,Open,Close
2015-12-31,80.48,80.58
2016-01-04,80.01,80.1
2016-01-05,80.34,80.25
2016-01-06,79.93,80.25
2016-01-07,79.67,79.73
2016-01-08,80.04,79.52
2016-01-11,79.86,79.4
2016-01-12,79.89,79.48
2016-01-13,79.54,78.6
2016-01-14,78.66,78.95
2016-01-15,77.67,77.91
2016-01-19,77.95,77.64
2016-01-20,77.03,77.12
2016-01-21,77.12,77.64
2016-01-22,78.4,78.83
2016-01-25,78.59,78.05
2016-01-26,78.36,78.75
2016-01-27,78.72,78.63
2016-01-28,79.11,79.03
2016-01-29,79.2,79.29
2016-02-01,78.76,78.43
2016-02-02,78.05,77.87
2016-02-03,78.11,78.25
2016-02-04,78.22,78.0
2016-02-05,77.99,77.4
2016-02-08,76.77,76.5
2016-02-09,76.09,76.21
2016-02-10,76.41,76.1
2016-02-11,75.35,75.59
2016-02-12,75.86,76.72
2016-02-16,76.81,76.79
2016-02-17,77.18,77.42
2016-02-18,77.7,77.49
2016-02-19,77.15,77.64
2016-02-22,78.04,78.31
2016-02-23,78.06,78.15
2016-02-24,77.56,78.28
2016-02-25,78.33,78.7
2016-02-26,78.95,79.23
2016-02-29,79.28,80.08
2016-03-01,79.83,80.92
2016-03-02,80.5,80.37
2016-03-03,80.27,80.64
2016-03-04,80.78,80.87
2016-03-07,80.68,80.97
2016-03-08,80.79,80.4
2016-03-09,80.55,80.6
2016-03-10,81.06,81.16
2016-03-11,81.72,82.14
2016-03-14,81.88,81.91
2016-03-15,81.4,81.15
2016-03-16,80.93,81.69
2016-03-17,81.88,82.21
2016-03-18,82.3,82.4
2016-03-21,82.39,82.31
2016-03-22,82.14,82.09
2016-03-23,82.07,81.71
2016-03-24,81.12,81.35
2016-03-28,81.26,80.98
2016-03-29,80.74,81.29
2016-03-30,81.44,81.58
2016-03-31,81.49,81.69
2016-04-01,80.98,81.37
2016-04-04,81.26,81.17
2016-04-05,80.82,80.87
2016-04-06,81.01,81.55
2016-04-07,81.22,81.15
2016-04-08,81.58,81.52
2016-04-11,81.65,81.63
2016-04-12,81.77,82.11
2016-04-13,82.31,82.65
2016-04-14,82.65,82.62
2016-04-15,82.47,82.49
2016-04-18,82.16,82.96
2016-04-19,83.15,83.31
2016-04-20,83.38,83.47
2016-04-21,83.57,83.21
2016-04-22,83.28,83.4
2016-04-25,83.25,83.08
2016-04-26,83.29,83.36
2016-04-27,83.44,83.85
2016-04-28,83.83,83.71
2016-04-29,83.63,83.85
2016-05-02,83.38,83.5
2016-05-03,83.2,82.96
2016-05-04,82.81,82.65
2016-05-05,82.91,82.58
2016-05-06,82.23,82.53
2016-05-09,82.4,82.38
2016-05-10,82.43,83.08
2016-05-11,83.08,83.02
2016-05-12,83.24,83.15
2016-05-13,83.07,82.78
2016-05-16,82.93,83.24
2016-05-17,83.1,83.07
2016-05-18,83.1,83.08
2016-05-19,82.79,82.85
2016-05-20,82.86,83.14
2016-05-23,83.12,83.16
2016-05-24,83.37,83.66
2016-05-25,83.83,83.79
2016-05-26,83.94,83.55
2016-05-27,83.59,83.69
2016-05-31,83.75,83.61
2016-06-01,82.99,83.34
2016-06-02,83.2,83.36
2016-06-03,83.44,83.51
2016-06-06,83.78,83.88
2016-06-07,83.98,84.25
2016-06-08,84.36,84.57
2016-06-09,84.57,84.24
2016-06-10,83.9,83.83
2016-06-13,83.5,83.27
2016-06-14,83.13,82.99
2016-06-15,83.26,83.03
2016-06-16,82.85,83.08
2016-06-17,83.09,83.13
2016-06-20,83.73,83.62
2016-06-21,83.77,83.94
2016-06-22,83.99,84.02
2016-06-23,84.39,84.64
2016-06-24,82.99,83.25
2016-06-27,83.0,82.05
2016-06-28,82.83,83.08
2016-06-29,83.58,84.13
2016-06-30,84.06,84.7
2016-07-01,84.3,84.47
2016-07-05,84.3,83.99
2016-07-06,83.88,84.36
2016-07-07,84.38,84.47
2016-07-08,84.82,85.59
2016-07-11,85.64,85.64
2016-07-12,86.06,85.88
2016-07-13,85.87,85.63
