Date,Open,Close
2015-12-31,55.56,55.06
2016-01-04,54.13,53.77
2016-01-05,53.92,53.94
2016-01-06,53.19,53.32
2016-01-07,52.31,51.95
2016-01-08,52.14,51.08
2016-01-11,51.31,51.09
2016-01-12,51.39,51.22
2016-01-13,51.41,49.83
2016-01-14,50.03,50.51
2016-01-15,49.24,49.91
2016-01-19,50.31,49.36
2016-01-20,48.66,49.47
2016-01-21,49.51,49.36
2016-01-22,50.08,50.41
2016-01-25,50.18,49.48
2016-01-26,49.69,50.66
2016-01-27,50.46,49.95
2016-01-28,50.38,50.08
2016-01-29,50.24,51.67
2016-02-01,51.31,51.49
2016-02-02,50.96,50.47
2016-02-03,50.84,50.6
2016-02-04,50.48,50.85
2016-02-05,50.62,49.7
2016-02-08,49.24,49.23
2016-02-09,48.62,48.99
2016-02-10,49.22,48.83
2016-02-11,47.99,48.28
2016-02-12,48.69,49.1
2016-02-16,49.7,50.19
2016-02-17,50.49,50.8
2016-02-18,50.85,50.71
2016-02-19,50.53,50.91
2016-02-22,51.38,51.51
2016-02-23,51.35,51.19
2016-02-24,50.71,51.69
2016-02-25,51.81,52.15
2016-02-26,52.43,52.4
2016-02-29,52.38,52.23
2016-03-01,52.59,53.21
2016-03-02,53.15,53.67
2016-03-03,53.67,54.26
2016-03-04,54.28,54.56
2016-03-07,54.36,55.19
2016-03-08,54.92,53.96
2016-03-09,54.17,54.26
2016-03-10,54.44,53.87
2016-03-11,54.29,54.99
2016-03-14,54.85,54.72
2016-03-15,54.44,54.03
2016-03-16,53.8,54.35
2016-03-17,54.29,55.29
2016-03-18,55.41,55.83
2016-03-21,55.72,55.65
2016-03-22,55.31,55.49
2016-03-23,55.16,54.42
2016-03-24,54.14,54.58
2016-03-28,54.73,54.65
2016-03-29,54.51,56.17
2016-03-30,56.44,56.22
2016-03-31,56.29,56.28
2016-04-01,55.81,56.43
2016-04-04,56.35,55.81
2016-04-05,55.39,55.13
2016-04-06,55.15,55.62
2016-04-07,55.26,54.85
2016-04-08,55.28,55.17
2016-04-11,55.4,55.03
2016-04-12,55.08,55.6
2016-04-13,55.9,56.81
2016-04-14,56.77,56.67
2016-04-15,56.48,56.81
2016-04-18,56.59,57.21
2016-04-19,57.35,57.42
2016-04-20,57.38,57.44
2016-04-21,57.41,56.98
2016-04-22,57.03,57.58
2016-04-25,57.49,57.1
2016-04-26,57.31,57.85
2016-04-27,57.83,58.12
2016-04-28,57.85,57.28
2016-04-29,57.28,56.96
2016-05-02,57.12,57.47
2016-05-03,56.99,56.6
2016-05-04,56.32,56.33
2016-05-05,56.49,55.99
2016-05-06,55.78,56.43
2016-05-09,56.44,56.42
2016-05-10,56.69,56.91
2016-05-11,56.76,56.19
2016-05-12,56.37,56.01
2016-05-13,55.89,55.56
2016-05-16,55.71,56.18
2016-05-17,56.03,55.22
2016-05-18,54.98,55.49
2016-05-19,55.06,55.07
2016-05-20,55.3,55.94
2016-05-23,56.03,55.77
2016-05-24,56.1,56.98
2016-05-25,57.19,57.28
2016-05-26,57.37,57.26
2016-05-27,57.22,57.76
2016-05-31,57.88,57.88
2016-06-01,57.74,58.29
2016-06-02,58.16,58.61
2016-06-03,58.49,58.28
2016-06-06,58.38,58.94
2016-06-07,58.99,59.13
2016-06-08,59.22,59.67
2016-06-09,59.47,59.37
2016-06-10,58.81,58.59
2016-06-13,58.38,57.94
2016-06-14,57.73,57.85
2016-06-15,58.06,57.84
2016-06-16,57.51,57.8
2016-06-17,57.87,57.65
2016-06-20,58.4,58.35
2016-06-21,58.19,58.08
2016-06-22,58.17,57.81
2016-06-23,58.41,58.99
2016-06-24,56.7,56.73
2016-06-27,56.08,54.98
2016-06-28,55.44,55.72
2016-06-29,56.28,56.85
2016-06-30,57.06,58.1
2016-07-01,58.1,58.19
2016-07-05,58.01,57.4
2016-07-06,57.16,57.78
2016-07-07,57.91,57.85
2016-07-08,58.44,59.26
2016-07-11,59.61,59.94
