Date,Open,Close
2015-12-31,58.48,58.45
2016-01-04,59.03,58.79
2016-01-05,58.71,58.61
2016-01-06,58.96,59.23
2016-01-07,59.09,59.24
2016-01-08,59.22,59.4
2016-01-11,59.0,58.93
2016-01-12,59.04,59.36
2016-01-13,59.21,59.52
2016-01-14,59.36,59.22
2016-01-15,59.26,59.43
2016-01-19,59.52,59.24
2016-01-20,59.7,59.22
2016-01-21,59.31,59.2
2016-01-22,59.0,59.22
2016-01-25,59.3,59.38
2016-01-26,59.66,59.58
2016-01-27,59.33,59.43
2016-01-28,59.07,59.44
2016-01-29,59.86,59.76
2016-02-01,59.65,59.38
2016-02-02,59.71,60.05
2016-02-03,60.05,59.99
2016-02-04,59.79,59.66
2016-02-05,59.86,59.99
2016-02-08,60.19,60.7
2016-02-09,60.57,60.62
2016-02-10,60.5,60.64
2016-02-11,61.07,60.63
2016-02-12,60.31,60.21
2016-02-16,59.93,59.95
2016-02-17,59.71,59.64
2016-02-18,60.02,60.11
2016-02-19,60.06,60.7
2016-02-22,60.79,60.63
2016-02-23,60.42,60.8
2016-02-24,60.92,60.89
2016-02-25,60.87,61.17
2016-02-26,60.88,60.89
2016-02-29,60.75,61.02
2016-03-01,60.77,60.05
2016-03-02,60.13,60.39
2016-03-03,60.24,60.61
2016-03-04,60.75,60.52
2016-03-07,60.36,60.54
2016-03-08,61.0,60.95
2016-03-09,60.86,60.83
2016-03-10,60.78,60.74
2016-03-11,61.15,60.75
2016-03-14,60.69,60.9
2016-03-15,61.07,60.94
2016-03-16,61.02,61.2
2016-03-17,61.37,61.55
2016-03-18,61.78,61.99
2016-03-21,62.09,61.85
2016-03-22,61.92,61.71
2016-03-23,61.82,62.16
2016-03-24,62.44,62.14
2016-03-28,62.07,62.26
2016-03-29,62.57,62.74
2016-03-30,62.56,62.48
2016-03-31,62.39,62.65
2016-04-01,62.88,62.66
2016-04-04,62.69,62.74
2016-04-05,62.96,63.14
2016-04-06,63.0,62.92
2016-04-07,63.24,62.97
2016-04-08,63.13,63.21
2016-04-11,63.06,63.03
2016-04-12,62.8,62.81
2016-04-13,62.72,63.05
2016-04-14,62.98,62.89
2016-04-15,63.2,63.39
2016-04-18,63.09,63.26
2016-04-19,63.13,63.38
2016-04-20,63.47,63.05
2016-04-21,62.82,62.81
2016-04-22,62.81,62.91
2016-04-25,62.78,62.69
2016-04-26,62.58,62.46
2016-04-27,62.54,62.9
2016-04-28,62.95,63.22
2016-04-29,62.93,63.35
2016-05-02,63.11,62.85
2016-05-03,63.15,63.26
2016-05-04,63.31,63.3
2016-05-05,63.4,63.73
2016-05-06,63.47,63.55
2016-05-09,63.46,63.49
2016-05-10,63.41,63.52
2016-05-11,63.44,63.81
2016-05-12,63.69,63.67
2016-05-13,63.54,63.92
2016-05-16,63.77,63.64
2016-05-17,63.53,63.41
2016-05-18,63.36,62.86
2016-05-19,62.77,63.0
2016-05-20,63.23,62.86
2016-05-23,63.0,62.96
2016-05-24,63.25,62.93
2016-05-25,62.83,62.78
2016-05-26,63.32,63.32
2016-05-27,63.08,63.21
2016-05-31,63.0,63.25
2016-06-01,63.6,63.16
2016-06-02,63.06,63.53
2016-06-03,63.87,64.13
2016-06-06,64.42,63.94
2016-06-07,64.39,64.12
2016-06-08,64.12,64.49
2016-06-09,65.08,64.64
2016-06-10,64.81,64.82
2016-06-13,64.93,64.83
2016-06-14,65.0,64.61
2016-06-15,64.59,64.85
2016-06-16,65.05,65.17
2016-06-17,65.12,64.84
2016-06-20,64.64,64.53
2016-06-21,64.57,64.41
2016-06-22,64.48,64.37
2016-06-23,64.18,64.33
2016-06-24,65.32,65.18
2016-06-27,65.68,65.83
2016-06-28,66.07,66.59
2016-06-29,66.6,66.43
2016-06-30,66.66,66.78
2016-07-01,66.69,67.06
2016-07-05,68.12,67.88
2016-07-06,68.29,67.96
2016-07-07,68.12,67.78
2016-07-08,67.53,68.49
2016-07-11,68.19,68.36
2016-07-12,67.82,67.35
2016-07-13,67.83,67.76
2016-07-14,67.27,67.47
2016-07-15,67.21,66.7
2016-07-18,66.91,66.79
2016-07-19,66.7,67.13
2016-07-20,66.77,66.8
2016-07-21,66.58,66.65
2016-07-22,66.44,66.91
2016-07-25,66.85,66.6
2016-07-26,67.05,66.81
2016-07-27,66.86,67.25
2016-07-28,67.05,67.06
2016-07-29,67.26,67.41
2016-08-01,66.7,66.77
2016-08-02,66.43,66.47
2016-08-03,66.5,66.1
2016-08-04,66.42,66.64
2016-08-05,66.65,66.05
2016-08-08,66.27,66.44
2016-08-09,66.57,66.9
2016-08-10,67.25,67.24
2016-08-11,67.32,66.82
2016-08-12,67.35,67.07
2016-08-15,67.03,67.08
2016-08-16,67.17,66.85
2016-08-17,67.12,67.04
2016-08-18,67.11,67.1
2016-08-19,66.96,67.03
2016-08-22,67.4,67.45
2016-08-23,67.4,67.27
2016-08-24,67.42,67.39
2016-08-25,67.29,67.21
2016-08-26,67.4,67.03
2016-08-29,67.22,67.61
2016-08-30,67.46,67.42
2016-08-31,67.59,67.44
2016-09-01,66.92,67.27
2016-09-02,66.97,66.9
2016-09-06,67.02,67.21
2016-09-07,67.32,67.18
2016-09-08,66.9,66.58
2016-09-09,66.24,65.72
2016-09-12,65.62,65.72
2016-09-13,65.55,65.05
2016-09-14,65.15,65.28
2016-09-15,64.84,65.0
2016-09-16,65.22,65.42
2016-09-19,65.2,65.31
2016-09-20,65.69,65.47
2016-09-21,65.47,66.09
2016-09-22,66.32,66.57
2016-09-23,66.57,66.16
2016-09-26,66.69,66.64
2016-09-27,66.81,66.83
2016-09-28,66.85,67.05
2016-09-29,66.73,67.07
2016-09-30,67.08,66.61
2016-10-03,66.74,66.21
2016-10-04,66.3,65.84
2016-10-05,65.93,65.68
2016-10-06,65.52,65.44
2016-10-07,65.49,65.48
2016-10-10,65.46,65.35
2016-10-11,65.25,65.24
2016-10-12,65.13,65.21
2016-10-13,65.41,65.43
2016-10-14,64.98,64.82
2016-10-17,65.2,65.01
