Date,Open,Close
2015-12-31,59.39,59.03
2016-01-04,58.08,58.28
2016-01-05,58.34,58.5
2016-01-06,57.68,57.69
2016-01-07,56.49,56.33
2016-01-08,56.78,55.66
2016-01-11,55.94,55.7
2016-01-12,56.2,56.09
2016-01-13,56.42,54.88
2016-01-14,55.15,55.88
2016-01-15,54.37,54.62
2016-01-19,55.17,54.72
2016-01-20,53.77,53.86
2016-01-21,53.97,54.17
2016-01-22,54.94,55.04
2016-01-25,54.82,54.17
2016-01-26,54.43,55.01
2016-01-27,54.85,54.74
2016-01-28,55.21,54.98
2016-01-29,55.35,56.42
2016-02-01,56.05,56.29
2016-02-02,55.67,55.23
2016-02-03,55.51,55.55
2016-02-04,55.46,55.76
2016-02-05,55.63,55.18
2016-02-08,54.55,54.66
2016-02-09,54.11,54.61
2016-02-10,54.85,54.46
2016-02-11,53.67,53.64
2016-02-12,54.15,54.79
2016-02-16,55.47,55.58
2016-02-17,56.0,56.37
2016-02-18,56.45,56.29
2016-02-19,55.97,56.16
2016-02-22,56.69,56.92
2016-02-23,56.69,56.17
2016-02-24,55.69,56.33
2016-02-25,56.43,57.03
2016-02-26,57.4,56.85
2016-02-29,56.88,56.36
2016-03-01,56.93,57.6
2016-03-02,57.51,58.03
2016-03-03,58.05,58.28
2016-03-04,58.29,58.44
2016-03-07,58.22,58.67
2016-03-08,58.36,58.08
2016-03-09,58.38,58.4
2016-03-10,58.57,58.34
2016-03-11,58.87,59.25
2016-03-14,59.06,59.07
2016-03-15,58.63,58.98
2016-03-16,58.92,59.2
2016-03-17,59.2,59.66
2016-03-18,59.99,59.9
2016-03-21,59.53,59.56
2016-03-22,59.37,59.5
2016-03-23,59.43,59.12
2016-03-24,58.73,59.1
2016-03-28,59.19,59.05
2016-03-29,58.97,59.45
2016-03-30,59.75,59.73
2016-03-31,59.66,59.54
2016-04-01,59.11,59.88
2016-04-04,59.82,59.69
2016-04-05,59.28,59.03
2016-04-06,59.12,59.63
2016-04-07,59.17,58.92
2016-04-08,59.33,59.15
2016-04-11,59.3,59.0
2016-04-12,59.06,59.6
2016-04-13,59.97,60.31
2016-04-14,60.26,60.37
2016-04-15,60.5,60.27
2016-04-18,60.06,60.69
2016-04-19,60.86,61.12
2016-04-20,61.17,61.3
2016-04-21,61.27,60.91
2016-04-22,60.81,61.03
2016-04-25,60.82,60.9
2016-04-26,61.02,61.07
2016-04-27,61.09,61.38
2016-04-28,60.96,60.84
2016-04-29,60.61,60.45
2016-05-02,60.61,60.87
2016-05-03,60.37,60.31
2016-05-04,60.06,59.91
2016-05-05,60.01,59.9
2016-05-06,59.7,60.06
2016-05-09,60.06,59.97
2016-05-10,60.23,60.72
2016-05-11,60.71,60.34
2016-05-12,60.47,60.39
2016-05-13,60.32,59.78
2016-05-16,59.81,60.33
