Date,Open,Close
2018-01-02,86.13,85.95
2018-01-03,86.06,86.35
2018-01-04,86.59,87.11
2018-01-05,87.66,88.19
2018-01-08,88.2,88.28
2018-01-09,88.65,88.22
2018-01-10,87.86,87.82
2018-01-11,88.13,88.08
2018-01-12,88.67,89.6
2018-01-16,90.1,88.35
2018-01-17,89.08,90.14
2018-01-18,89.8,90.1
2018-01-19,90.14,90.0
2018-01-22,90.0,91.61
2018-01-23,91.9,91.9
2018-01-24,92.55,91.82
2018-01-25,92.47,92.33
2018-01-26,93.12,94.06
2018-01-29,95.14,93.92
2018-01-30,93.3,92.74
2018-01-31,93.75,95.01
2018-02-01,94.79,94.26
2018-02-02,93.64,91.78
2018-02-05,90.56,88.0
2018-02-06,86.89,91.33
2018-02-07,90.49,89.61
2018-02-08,89.71,85.01
2018-02-09,86.3,88.18
2018-02-12,88.74,89.13
2018-02-13,88.93,89.83
2018-02-14,88.51,90.81
2018-02-15,91.21,92.66
2018-02-16,92.45,92.0
2018-02-20,91.48,92.72
2018-02-21,92.98,91.49
2018-02-22,92.05,91.73
2018-02-23,93.6,94.06
2018-02-26,94.4,95.42
2018-02-27,95.74,94.2
2018-02-28,94.84,93.77
2018-03-01,93.99,92.85
2018-03-02,91.58,93.05
2018-03-05,92.34,93.64
2018-03-06,94.34,93.32
2018-03-07,93.16,93.86
2018-03-08,94.27,94.43
2018-03-09,95.29,96.54
2018-03-12,96.5,96.77
2018-03-13,97.0,94.41
2018-03-14,95.12,93.85
2018-03-15,93.53,94.18
2018-03-16,94.68,94.6
2018-03-19,93.74,92.89
2018-03-20,93.05,93.13
2018-03-21,92.93,92.48
2018-03-22,91.27,89.79
2018-03-23,89.5,87.18
2018-03-26,90.61,93.78
2018-03-27,94.94,89.47
2018-03-28,89.82,89.39
2018-03-29,90.18,91.27
2018-04-02,90.47,88.52
2018-04-03,89.58,89.71
2018-04-04,87.85,92.33
2018-04-05,92.44,92.38
2018-04-06,91.49,90.23
2018-04-09,91.04,90.77
2018-04-10,92.39,92.88
2018-04-11,92.01,91.86
2018-04-12,92.43,93.58
2018-04-13,94.05,93.08
2018-04-16,94.07,94.17
2018-04-17,95.0,96.07
2018-04-18,96.22,96.44
2018-04-19,96.44,96.11
2018-04-20,95.91,95.0
2018-04-23,95.74,95.35
2018-04-24,96.24,93.12
2018-04-25,93.3,92.31
2018-04-26,93.55,94.26
2018-04-27,97.6,95.82
2018-04-30,96.33,93.52
2018-05-01,93.21,95.0
2018-05-02,94.99,93.51
2018-05-03,92.96,94.07
2018-05-04,93.32,95.16
2018-05-07,95.17,96.22
2018-05-08,95.85,95.81
2018-05-09,96.01,96.94
2018-05-10,97.46,97.91
2018-05-11,97.8,97.7
2018-05-14,97.92,98.03
2018-05-15,97.24,97.32
2018-05-16,97.36,97.15
2018-05-17,96.76,96.18
