Date,Open,Close
2015-12-31,33.43,33.43
2016-01-04,33.42,33.52
2016-01-05,33.56,33.57
2016-01-06,33.6,33.63
2016-01-07,33.65,33.65
2016-01-08,33.64,33.68
2016-01-11,33.7,33.66
2016-01-12,33.66,33.59
2016-01-13,33.54,33.69
2016-01-14,33.6,33.61
2016-01-15,33.65,33.66
2016-01-19,33.68,33.56
2016-01-20,33.51,33.56
2016-01-21,33.6,33.47
2016-01-22,33.44,33.51
2016-01-25,33.5,33.45
2016-01-26,33.5,33.54
2016-01-27,33.55,33.54
2016-01-28,33.51,33.58
2016-01-29,33.61,33.65
2016-02-01,33.51,33.47
2016-02-02,33.49,33.56
2016-02-03,33.57,33.57
2016-02-04,33.52,33.57
2016-02-05,33.48,33.49
2016-02-08,33.54,33.65
2016-02-09,33.65,33.61
2016-02-10,33.55,33.65
2016-02-11,33.62,33.74
2016-02-12,33.54,33.47
2016-02-16,33.48,33.54
2016-02-17,33.52,33.52
2016-02-18,33.46,33.63
2016-02-19,33.55,33.66
2016-02-22,33.68,33.71
2016-02-23,33.67,33.7
2016-02-24,33.69,33.73
2016-02-25,33.71,33.75
2016-02-26,33.73,33.83
2016-02-29,33.83,33.84
2016-03-01,33.8,33.58
2016-03-02,33.56,33.62
2016-03-03,33.58,33.65
2016-03-04,33.62,33.68
2016-03-07,33.64,33.67
2016-03-08,33.67,33.77
2016-03-09,33.74,33.77
2016-03-10,33.71,33.7
2016-03-11,33.7,33.72
2016-03-14,33.75,33.79
2016-03-15,33.79,33.8
2016-03-16,33.76,33.96
2016-03-17,33.96,34.04
2016-03-18,34.07,34.06
2016-03-21,34.07,34.1
2016-03-22,34.12,33.99
2016-03-23,34.03,34.08
2016-03-24,34.09,34.1
2016-03-28,34.15,34.16
2016-03-29,34.1,34.19
2016-03-30,34.2,34.25
2016-03-31,34.21,34.27
2016-04-01,34.2,34.24
2016-04-04,34.25,34.22
2016-04-05,34.18,34.27
2016-04-06,34.3,34.29
2016-04-07,34.36,34.35
2016-04-08,34.35,34.34
2016-04-11,34.34,34.36
2016-04-12,34.3,34.28
2016-04-13,34.28,34.33
2016-04-14,34.24,34.28
2016-04-15,34.28,34.26
2016-04-18,34.31,34.3
2016-04-19,34.32,34.38
2016-04-20,34.32,34.35
2016-04-21,34.31,34.33
2016-04-22,34.27,34.32
2016-04-25,34.31,34.32
2016-04-26,34.27,34.3
2016-04-27,34.32,34.39
2016-04-28,34.39,34.44
2016-04-29,34.41,34.47
2016-05-02,34.39,34.35
2016-05-03,34.4,34.43
2016-05-04,34.47,34.49
2016-05-05,34.45,34.5
2016-05-06,34.48,34.49
2016-05-09,34.51,34.55
2016-05-10,34.51,34.56
2016-05-11,34.52,34.5
2016-05-12,34.5,34.46
2016-05-13,34.46,34.48
2016-05-16,34.48,34.43
2016-05-17,34.4,34.41
2016-05-18,34.39,34.26
2016-05-19,34.22,34.27
2016-05-20,34.23,34.31
2016-05-23,34.26,34.31
2016-05-24,34.25,34.29
2016-05-25,34.28,34.23
2016-05-26,34.23,34.28
2016-05-27,34.29,34.22
2016-05-31,34.28,34.32
2016-06-01,34.29,34.22
2016-06-02,34.52,34.23
2016-06-03,34.33,34.43
2016-06-06,34.46,34.43
2016-06-07,34.44,34.5
2016-06-08,34.52,34.52
2016-06-09,34.55,34.54
2016-06-10,34.55,34.59
2016-06-13,34.59,34.6
2016-06-14,34.64,34.56
2016-06-15,34.56,34.6
2016-06-16,34.63,34.63
