Date,Open,Close
2015-12-31,205.13,203.87
2016-01-04,200.49,201.02
2016-01-05,201.4,201.36
2016-01-06,198.34,198.82
2016-01-07,195.33,194.05
2016-01-08,195.19,191.92
2016-01-11,193.01,192.11
2016-01-12,193.82,193.66
2016-01-13,194.45,188.83
2016-01-14,189.55,191.93
2016-01-15,186.77,187.81
2016-01-19,189.96,188.06
2016-01-20,185.03,185.65
2016-01-21,186.21,186.69
2016-01-22,189.78,190.52
2016-01-25,189.92,187.64
2016-01-26,188.42,190.2
2016-01-27,189.58,188.13
2016-01-28,189.96,189.11
2016-01-29,190.02,193.72
2016-02-01,192.53,193.65
2016-02-02,191.96,190.16
2016-02-03,191.41,191.3
2016-02-04,190.71,191.6
2016-02-05,190.99,187.95
2016-02-08,185.77,185.42
2016-02-09,183.36,185.43
2016-02-10,186.41,185.27
2016-02-11,182.34,182.86
2016-02-12,184.96,186.63
2016-02-16,188.77,189.78
2016-02-17,191.16,192.88
2016-02-18,193.2,192.09
2016-02-19,191.17,192.0
2016-02-22,193.87,194.78
2016-02-23,194.0,192.32
2016-02-24,190.63,193.2
2016-02-25,193.73,195.54
2016-02-26,196.57,195.09
2016-02-29,195.11,193.56
2016-03-01,195.01,198.11
2016-03-02,197.74,199.0
2016-03-03,198.79,199.78
2016-03-04,200.01,200.43
2016-03-07,199.34,200.59
2016-03-08,199.32,198.4
2016-03-09,199.36,199.38
2016-03-10,199.96,199.54
2016-03-11,201.26,202.76
2016-03-14,202.16,202.5
2016-03-15,201.36,202.17
2016-03-16,201.6,203.34
2016-03-17,203.24,204.63
2016-03-18,204.17,204.38
2016-03-21,204.07,204.67
2016-03-22,203.76,204.56
2016-03-23,204.11,203.21
2016-03-24,202.0,203.12
2016-03-28,203.61,203.24
2016-03-29,202.76,205.12
2016-03-30,206.3,206.02
2016-03-31,205.91,205.52
2016-04-01,204.35,206.92
2016-04-04,206.83,206.25
2016-04-05,204.67,204.19
2016-04-06,204.19,206.42
2016-04-07,205.14,203.95
2016-04-08,205.34,204.5
2016-04-11,205.25,204.02
2016-04-12,204.22,205.92
2016-04-13,207.0,208.0
2016-04-14,208.07,208.01
2016-04-15,208.01,207.78
2016-04-18,207.78,209.24
2016-04-19,209.74,209.9
2016-04-20,209.95,210.1
2016-04-21,210.12,208.97
2016-04-22,208.55,208.97
2016-04-25,208.26,208.61
2016-04-26,209.04,208.92
2016-04-27,208.47,209.35
2016-04-28,208.46,207.45
2016-04-29,206.72,206.33
2016-05-02,206.92,207.97
2016-05-03,206.52,206.16
2016-05-04,204.99,205.01
2016-05-05,205.56,204.97
2016-05-06,204.06,205.72
2016-05-09,205.57,205.89
2016-05-10,206.72,208.45
2016-05-11,207.91,206.5
2016-05-12,207.29,206.56
2016-05-13,206.21,204.76
2016-05-16,204.96,206.78
2016-05-17,206.46,204.85
2016-05-18,204.44,204.91
2016-05-19,204.06,204.2
2016-05-20,204.92,205.49
2016-05-23,205.51,205.21
2016-05-24,206.17,207.87
2016-05-25,208.67,209.28
2016-05-26,209.44,209.34
2016-05-27,209.53,210.24
2016-05-31,210.56,209.84
2016-06-01,209.12,210.27
2016-06-02,209.8,210.91
2016-06-03,210.25,210.28
2016-06-06,210.7,211.35
2016-06-07,211.53,211.68
2016-06-08,211.84,212.37
2016-06-09,211.51,212.08
2016-06-10,210.46,210.07
2016-06-13,209.36,208.45
2016-06-14,208.0,208.04
2016-06-15,208.04,207.75
2016-06-16,207.75,208.37
2016-06-17,207.17,206.52
2016-06-20,208.82,207.85
2016-06-21,208.3,208.44
2016-06-22,208.65,208.1
2016-06-23,209.81,210.81
2016-06-24,203.63,203.24
2016-06-27,201.59,199.6
