Date,Open,Close
2019-07-09,24.5,24.59
2019-07-10,24.84,24.25
2019-07-11,24.39,23.96
2019-07-12,23.82,22.89
2019-07-15,23.0,23.46
2019-07-16,23.54,23.55
2019-07-17,23.65,23.85
2019-07-18,23.89,23.49
2019-07-19,23.52,23.45
2019-07-22,23.57,23.03
2019-07-23,23.09,22.7
2019-07-24,22.64,22.48
2019-07-25,22.48,22.3
2019-07-26,22.25,22.37
2019-07-29,22.48,22.18
2019-07-30,22.08,22.37
2019-07-31,22.53,22.36
2019-08-01,22.37,21.91
2019-08-02,22.43,23.06
2019-08-05,22.98,22.65
2019-08-06,22.99,23.09
2019-08-07,23.07,23.02
2019-08-08,23.5,23.3
2019-08-09,23.4,23.16
2019-08-12,23.03,23.14
2019-08-13,23.24,23.69
2019-08-14,23.24,22.35
2019-08-15,22.19,21.02
2019-08-16,21.31,21.43
2019-08-19,21.81,21.2
2019-08-20,21.23,21.04
2019-08-21,21.23,21.11
2019-08-22,21.22,20.6
2019-08-23,20.5,20.1
2019-08-26,20.25,19.81
2019-08-27,20.07,18.99
2019-08-28,18.95,19.44
2019-08-29,19.72,19.65
2019-08-30,19.77,19.39
2019-09-03,19.36,19.87
2019-09-04,20.02,19.84
2019-09-05,20.04,20.5
2019-09-06,20.64,20.95
2019-09-09,21.34,20.35
2019-09-10,20.26,20.55
2019-09-11,20.64,20.72
2019-09-12,20.43,20.2
2019-09-13,20.29,20.3
2019-09-16,20.25,20.01
2019-09-17,20.0,19.63
2019-09-18,19.7,19.58
2019-09-19,19.7,19.15
2019-09-20,19.09,18.96
2019-09-23,18.98,18.77
2019-09-24,18.8,17.77
2019-09-25,17.88,17.69
2019-09-26,18.1,17.54
2019-09-27,17.53,16.93
2019-09-30,16.98,16.54
2019-10-01,16.52,15.96
2019-10-02,15.82,16.06
2019-10-03,16.12,16.66
2019-10-04,17.0,16.8
2019-10-07,16.67,16.33
2019-10-08,16.22,15.98
2019-10-09,16.37,16.03
2019-10-10,15.93,15.01
2019-10-11,15.2,14.92
2019-10-14,14.85,14.75
2019-10-15,15.03,15.65
2019-10-16,15.67,15.43
2019-10-17,15.89,15.97
2019-10-18,16.02,15.5
2019-10-21,15.57,15.6
2019-10-22,15.61,15.39
2019-10-23,15.42,15.76
