Date,Open,Close
2015-12-31,47.62,47.33
2016-01-04,46.61,46.21
2016-01-05,46.64,47.36
2016-01-06,47.2,47.15
2016-01-07,46.8,46.28
2016-01-08,46.37,45.96
2016-01-11,45.93,45.94
2016-01-12,45.99,45.62
2016-01-13,45.68,45.23
2016-01-14,45.25,45.2
2016-01-15,44.46,44.43
2016-01-19,44.61,44.85
2016-01-20,44.4,43.44
2016-01-21,43.82,43.74
2016-01-22,44.67,44.96
2016-01-25,44.74,44.81
2016-01-26,45.27,45.46
2016-01-27,45.07,44.69
2016-01-28,44.89,44.45
2016-01-29,44.61,45.27
2016-02-01,45.34,45.39
2016-02-02,44.84,44.95
2016-02-03,44.88,45.16
2016-02-04,45.34,45.26
2016-02-05,44.96,44.45
2016-02-08,43.91,42.82
2016-02-09,42.44,42.26
2016-02-10,42.27,42.56
2016-02-11,41.92,42.01
2016-02-12,42.24,42.36
2016-02-16,42.76,43.07
2016-02-17,43.68,43.6
2016-02-18,43.46,43.91
2016-02-19,44.07,44.12
2016-02-22,44.28,44.55
2016-02-23,44.45,44.39
2016-02-24,44.13,44.35
2016-02-25,44.64,45.17
2016-02-26,45.16,45.0
2016-02-29,45.07,45.08
2016-03-01,45.33,46.0
2016-03-02,46.02,46.44
2016-03-03,46.29,46.56
2016-03-04,46.46,46.66
2016-03-07,46.7,46.61
2016-03-08,46.7,46.27
2016-03-09,46.58,46.51
2016-03-10,46.38,46.43
2016-03-11,46.95,47.5
2016-03-14,47.44,47.53
2016-03-15,47.3,47.58
2016-03-16,47.52,48.12
2016-03-17,48.24,48.83
2016-03-18,48.7,48.73
2016-03-21,48.46,48.17
2016-03-22,48.16,48.19
2016-03-23,47.72,47.58
2016-03-24,47.18,47.48
2016-03-28,47.33,47.9
2016-03-29,48.14,48.78
2016-03-30,49.0,48.98
2016-03-31,48.79,48.99
2016-04-01,48.77,49.08
2016-04-04,49.16,49.02
2016-04-05,48.8,48.71
2016-04-06,48.68,48.89
2016-04-07,48.64,48.56
2016-04-08,48.91,48.91
2016-04-11,49.06,48.89
2016-04-12,48.85,49.03
2016-04-13,48.74,48.79
2016-04-14,48.61,48.55
2016-04-15,48.6,48.86
2016-04-18,48.87,48.81
2016-04-19,48.96,49.11
2016-04-20,48.57,48.34
2016-04-21,48.35,47.51
2016-04-22,47.83,48.06
2016-04-25,47.65,48.31
2016-04-26,48.74,48.47
2016-04-27,48.6,48.49
2016-04-28,48.46,48.28
2016-04-29,48.05,47.73
2016-05-02,48.44,48.67
2016-05-03,48.33,48.49
2016-05-04,48.37,49.3
2016-05-05,49.34,49.42
2016-05-06,49.3,49.84
2016-05-09,49.62,50.4
2016-05-10,50.43,50.41
2016-05-11,50.52,49.52
2016-05-12,49.34,49.79
2016-05-13,49.33,49.3
2016-05-16,49.36,49.75
2016-05-17,49.5,48.84
2016-05-18,48.77,48.17
2016-05-19,47.85,47.8
2016-05-20,47.94,48.07
2016-05-23,48.14,48.14
2016-05-24,48.81,48.59
2016-05-25,48.54,48.72
2016-05-26,48.4,48.78
2016-05-27,48.88,48.95
2016-05-31,48.87,49.02
2016-06-01,48.85,48.81
2016-06-02,48.7,49.13
2016-06-03,49.14,49.19
2016-06-06,49.17,48.97
2016-06-07,49.19,49.2
2016-06-08,49.17,49.42
2016-06-09,49.44,49.46
2016-06-10,49.41,49.38
2016-06-13,49.43,49.55
2016-06-14,49.19,49.26
2016-06-15,49.54,49.74
2016-06-16,49.77,49.97
2016-06-17,50.02,49.83
2016-06-20,50.25,50.04
2016-06-21,49.64,49.86
2016-06-22,49.83,49.78
2016-06-23,49.99,49.94
2016-06-24,48.85,49.41
2016-06-27,49.3,49.61
2016-06-28,49.9,50.52
2016-06-29,51.32,51.4
2016-06-30,51.35,51.67
2016-07-01,51.71,52.0
2016-07-05,51.88,52.4
2016-07-06,52.36,52.2
2016-07-07,52.17,51.52
2016-07-08,52.09,52.47
2016-07-11,52.67,52.78
2016-07-12,52.54,52.74
2016-07-13,52.85,52.97
2016-07-14,52.91,52.61
2016-07-15,52.35,52.43
2016-07-18,52.53,52.58
2016-07-19,52.58,52.82
2016-07-20,52.9,52.83
2016-07-21,52.61,52.75
2016-07-22,52.83,53.45
2016-07-25,53.23,53.21
2016-07-26,53.19,53.04
2016-07-27,52.73,52.63
2016-07-28,52.69,53.02
2016-07-29,53.08,53.54
2016-08-01,53.83,53.72
2016-08-02,53.22,53.01
2016-08-03,53.16,52.62
2016-08-04,52.8,52.56
2016-08-05,52.68,52.48
2016-08-08,52.64,52.5
2016-08-09,52.47,52.78
2016-08-10,52.79,52.74
2016-08-11,52.5,52.24
2016-08-12,52.42,52.43
2016-08-15,52.65,52.29
2016-08-16,52.21,51.69
2016-08-17,51.71,51.88
2016-08-18,51.79,51.72
2016-08-19,51.45,51.39
2016-08-22,51.31,51.64
2016-08-23,51.76,51.7
2016-08-24,51.23,51.5
2016-08-25,51.37,51.72
2016-08-26,51.74,51.17
2016-08-29,51.49,51.63
2016-08-30,51.76,51.56
2016-08-31,51.58,51.56
2016-09-01,51.47,51.44
2016-09-02,52.33,51.9
2016-09-06,52.16,52.35
2016-09-07,52.54,52.48
2016-09-08,52.43,52.11
2016-09-09,50.84,50.0
2016-09-12,50.09,50.61
2016-09-13,50.24,49.37
