Date,Open,Close
2015-12-31,37.01,36.72
2016-01-04,36.11,36.17
2016-01-05,36.08,36.13
2016-01-06,35.37,35.47
2016-01-07,34.9,34.8
2016-01-08,34.99,34.37
2016-01-11,34.75,34.52
2016-01-12,34.79,34.66
2016-01-13,34.89,34.14
2016-01-14,34.28,34.54
2016-01-15,33.4,33.34
2016-01-19,33.92,33.63
2016-01-20,32.96,32.86
2016-01-21,32.73,33.11
2016-01-22,33.91,34.07
2016-01-25,33.85,33.58
2016-01-26,33.79,34.19
2016-01-27,34.12,33.97
2016-01-28,34.33,34.1
2016-01-29,34.24,34.69
2016-02-01,34.4,34.62
2016-02-02,34.18,33.84
2016-02-03,34.03,34.14
2016-02-04,34.01,34.21
2016-02-05,34.08,33.7
2016-02-08,33.18,33.09
2016-02-09,32.44,32.73
2016-02-10,32.88,32.66
2016-02-11,32.26,32.23
2016-02-12,32.3,32.74
2016-02-16,33.31,33.37
2016-02-17,33.6,33.97
2016-02-18,34.07,33.81
2016-02-19,33.57,33.75
2016-02-22,33.99,34.16
2016-02-23,33.91,33.59
2016-02-24,33.06,33.49
2016-02-25,33.66,33.89
2016-02-26,34.02,33.77
2016-02-29,33.73,33.62
2016-03-01,34.09,34.49
2016-03-02,34.45,34.73
2016-03-03,34.83,35.1
2016-03-04,35.34,35.37
2016-03-07,35.02,35.34
2016-03-08,35.15,34.95
2016-03-09,35.09,35.1
2016-03-10,35.41,35.07
2016-03-11,35.73,35.98
2016-03-14,35.89,35.9
2016-03-15,35.37,35.38
2016-03-16,35.17,35.75
2016-03-17,35.75,36.08
2016-03-18,36.06,36.02
2016-03-21,35.93,35.95
2016-03-22,35.71,35.91
2016-03-23,35.8,35.52
2016-03-24,35.13,35.29
2016-03-28,35.59,35.51
2016-03-29,35.4,35.93
2016-03-30,36.24,36.2
2016-03-31,36.06,35.88
2016-04-01,35.15,35.48
2016-04-04,35.58,35.4
2016-04-05,34.79,34.74
2016-04-06,34.88,35.3
2016-04-07,35.01,34.8
2016-04-08,35.46,35.46
2016-04-11,35.71,35.49
2016-04-12,35.79,36.03
2016-04-13,36.5,36.6
2016-04-14,36.72,36.64
2016-04-15,36.63,36.54
2016-04-18,36.48,36.87
2016-04-19,37.4,37.51
2016-04-20,37.49,37.52
2016-04-21,37.49,37.3
2016-04-22,37.28,37.27
2016-04-25,37.12,37.11
2016-04-26,37.28,37.25
2016-04-27,37.15,37.31
2016-04-28,36.89,36.83
2016-04-29,36.88,36.71
2016-05-02,37.01,37.02
2016-05-03,36.67,36.4
2016-05-04,36.09,35.96
2016-05-05,35.99,35.93
2016-05-06,35.78,36.01
2016-05-09,36.07,35.89
2016-05-10,36.19,36.42
2016-05-11,36.24,36.16
2016-05-12,36.42,36.13
2016-05-13,35.86,35.73
2016-05-16,35.87,36.17
2016-05-17,36.14,35.96
2016-05-18,35.93,35.93
2016-05-19,35.68,35.69
2016-05-20,36.0,36.02
2016-05-23,35.9,35.9
2016-05-24,36.11,36.34
2016-05-25,36.54,36.7
2016-05-26,36.83,36.78
2016-05-27,36.76,36.73
2016-05-31,36.89,36.6
2016-06-01,36.46,36.58
2016-06-02,36.38,36.59
2016-06-03,36.76,36.88
2016-06-06,36.99,37.13
2016-06-07,37.42,37.41
2016-06-08,37.54,37.53
2016-06-09,37.09,37.06
2016-06-10,36.4,36.06
2016-06-13,35.61,35.54
2016-06-14,34.74,34.56
2016-06-15,34.86,34.79
2016-06-16,34.28,34.8
2016-06-17,34.95,35.13
2016-06-20,36.21,35.95
2016-06-21,36.18,36.23
2016-06-22,36.32,36.17
2016-06-23,36.9,37.12
2016-06-24,34.22,34.08
2016-06-27,33.62,33.42
2016-06-28,34.16,34.31
2016-06-29,34.78,34.93
2016-06-30,34.99,35.36
2016-07-01,35.39,35.44
2016-07-05,35.04,34.74
2016-07-06,34.37,34.75
2016-07-07,34.85,34.6
2016-07-08,34.97,35.08
2016-07-11,35.49,35.56
2016-07-12,36.03,36.06
2016-07-13,36.11,36.03
2016-07-14,36.34,36.34
2016-07-15,36.23,36.16
2016-07-18,36.15,36.24
2016-07-19,35.99,35.95
2016-07-20,36.15,36.21
2016-07-21,36.14,36.12
2016-07-22,36.21,36.14
2016-07-25,36.2,36.08
2016-07-26,36.23,36.25
2016-07-27,36.43,36.41
2016-07-28,36.38,36.41
2016-07-29,36.72,36.83
2016-08-01,36.77,36.62
2016-08-02,36.6,36.44
2016-08-03,36.16,36.3
2016-08-04,36.45,36.51
2016-08-05,36.52,36.64
2016-08-08,36.74,36.76
2016-08-09,36.95,37.06
2016-08-10,37.34,37.19
2016-08-11,37.37,37.47
2016-08-12,37.51,37.37
2016-08-15,37.51,37.53
2016-08-16,37.46,37.44
2016-08-17,37.35,37.44
2016-08-18,37.45,37.63
2016-08-19,37.26,37.35
2016-08-22,37.25,37.38
2016-08-23,37.65,37.54
2016-08-24,37.55,37.43
2016-08-25,37.3,37.31
2016-08-26,37.39,37.05
2016-08-29,37.0,37.19
2016-08-30,37.22,37.11
2016-08-31,37.09,36.98
2016-09-01,37.18,37.29
2016-09-02,37.63,37.67
2016-09-06,37.83,38.03
2016-09-07,38.16,38.03
2016-09-08,38.01,37.95
2016-09-09,37.63,37.15
2016-09-12,36.88,37.44
2016-09-13,36.79,36.48
2016-09-14,36.46,36.46
2016-09-15,36.44,36.78
2016-09-16,36.38,36.33
2016-09-19,36.74,36.57
2016-09-20,36.89,36.73
2016-09-21,37.14,37.43
2016-09-22,37.96,37.8
2016-09-23,37.5,37.44
2016-09-26,37.15,37.11
2016-09-27,36.98,37.29
2016-09-28,37.38,37.62
2016-09-29,37.56,37.16
2016-09-30,37.29,37.41
2016-10-03,37.35,37.34
2016-10-04,37.46,37.23
2016-10-05,37.37,37.43
2016-10-06,37.24,37.23
2016-10-07,37.09,36.99
2016-10-10,36.99,37.14
2016-10-11,36.96,36.6
2016-10-12,36.58,36.55
2016-10-13,36.18,36.45
2016-10-14,36.69,36.48
2016-10-17,36.45,36.42
2016-10-18,36.87,36.81
2016-10-19,36.85,36.94
2016-10-20,36.83,36.94
2016-10-21,36.69,36.86
2016-10-24,36.9,36.81
2016-10-25,36.78,36.78
2016-10-26,36.6,36.6
2016-10-27,36.71,36.56
2016-10-28,36.51,36.54
2016-10-31,36.51,36.51
2016-11-01,36.67,36.41
2016-11-02,36.38,36.14
2016-11-03,36.3,36.12
2016-11-04,35.93,35.82
2016-11-07,36.24,36.31
2016-11-08,36.18,36.4
2016-11-09,36.02,36.34
2016-11-10,36.34,36.22
2016-11-11,36.02,35.93
2016-11-14,35.68,35.77
2016-11-15,35.73,35.99
2016-11-16,35.68,35.66
2016-11-17,35.82,35.9
2016-11-18,35.67,35.58
2016-11-21,35.73,35.89
2016-11-22,36.0,36.0
2016-11-23,35.66,35.87
2016-11-25,35.98,35.94
2016-11-28,35.9,35.81
2016-11-29,35.82,36.01
2016-11-30,36.12,35.96
2016-12-01,35.97,35.87
2016-12-02,35.8,35.97
2016-12-05,36.16,36.25
2016-12-06,36.29,36.5
2016-12-07,36.64,36.98
2016-12-08,36.95,37.01
2016-12-09,37.02,37.12
2016-12-12,37.05,37.0
2016-12-13,37.28,37.39
2016-12-14,37.3,36.78
2016-12-15,36.63,36.72
2016-12-16,36.69,36.73
2016-12-19,36.73,36.7
2016-12-20,36.74,36.78
2016-12-21,36.81,36.78
2016-12-22,36.47,36.38
2016-12-23,36.41,36.46
2016-12-27,36.47,36.41
2016-12-28,36.44,36.34
2016-12-29,36.43,36.47
2016-12-30,36.74,36.54
2017-01-03,36.72,36.77
2017-01-04,36.96,37.22
