Date,Open,Close
2015-12-31,78.4,77.76
2016-01-04,76.53,76.72
2016-01-05,76.81,76.97
2016-01-06,76.01,76.04
2016-01-07,74.86,74.64
2016-01-08,75.01,73.87
2016-01-11,74.18,74.03
2016-01-12,74.55,74.65
2016-01-13,74.89,73.25
2016-01-14,73.46,73.93
2016-01-15,72.32,72.62
2016-01-19,73.27,72.85
2016-01-20,71.84,72.1
2016-01-21,72.28,72.47
2016-01-22,73.42,73.62
2016-01-25,73.45,72.88
2016-01-26,73.05,73.94
2016-01-27,73.84,73.63
2016-01-28,73.92,73.92
2016-01-29,74.39,75.98
2016-02-01,75.28,75.96
2016-02-02,75.34,74.81
2016-02-03,75.21,75.16
2016-02-04,75.01,75.37
2016-02-05,75.24,74.5
2016-02-08,73.86,73.98
2016-02-09,73.34,74.2
2016-02-10,74.53,73.97
2016-02-11,73.04,73.0
2016-02-12,73.57,74.33
2016-02-16,75.03,75.35
2016-02-17,75.77,76.3
2016-02-18,76.27,76.27
2016-02-19,75.96,76.26
2016-02-22,76.83,77.19
2016-02-23,76.97,76.49
2016-02-24,75.9,77.0
2016-02-25,77.19,77.91
2016-02-26,78.2,77.42
2016-02-29,77.44,76.84
2016-03-01,77.19,78.08
2016-03-02,77.94,78.24
2016-03-03,78.13,78.49
2016-03-04,78.49,78.87
2016-03-07,78.53,78.91
2016-03-08,78.55,78.62
2016-03-09,78.87,78.9
2016-03-10,79.06,78.84
2016-03-11,79.34,79.76
2016-03-14,79.53,79.68
2016-03-15,79.31,79.6
2016-03-16,79.41,80.06
2016-03-17,80.12,80.88
2016-03-18,81.06,81.08
2016-03-21,80.61,80.64
2016-03-22,80.39,80.55
2016-03-23,80.34,80.31
2016-03-24,79.94,80.2
2016-03-28,80.36,80.33
2016-03-29,80.23,81.16
2016-03-30,81.44,81.55
2016-03-31,81.52,81.25
2016-04-01,80.91,81.89
2016-04-04,81.84,81.47
2016-04-05,81.1,80.86
2016-04-06,80.82,81.39
2016-04-07,81.06,80.68
2016-04-08,81.1,80.96
2016-04-11,81.1,80.63
2016-04-12,80.72,81.25
2016-04-13,81.59,81.7
2016-04-14,81.75,81.59
2016-04-15,81.57,81.84
2016-04-18,81.72,82.25
2016-04-19,82.51,82.56
2016-04-20,82.55,82.26
2016-04-21,82.3,81.52
2016-04-22,81.5,81.58
2016-04-25,81.36,81.59
2016-04-26,81.72,81.83
2016-04-27,81.82,82.18
2016-04-28,81.59,81.41
2016-04-29,81.15,80.98
2016-05-02,81.15,81.72
2016-05-03,81.29,81.26
2016-05-04,80.91,81.11
2016-05-05,81.15,81.06
2016-05-06,80.82,81.32
2016-05-09,81.32,81.54
2016-05-10,81.78,82.38
2016-05-11,82.19,81.6
2016-05-12,81.96,81.99
2016-05-13,81.87,81.17
2016-05-16,81.23,81.92
2016-05-17,81.79,80.9
2016-05-18,80.7,80.63
2016-05-19,80.38,80.46
2016-05-20,80.63,80.65
2016-05-23,80.78,80.5
2016-05-24,80.84,81.47
2016-05-25,81.73,81.71
2016-05-26,81.76,81.76
2016-05-27,81.83,81.96
2016-05-31,82.11,81.75
2016-06-01,81.5,82.03
2016-06-02,81.86,82.23
2016-06-03,82.1,82.22
2016-06-06,82.34,82.45
2016-06-07,82.59,82.59
2016-06-08,82.58,83.05
2016-06-09,82.83,83.16
2016-06-10,82.7,82.81
2016-06-13,82.56,82.2
2016-06-14,82.03,82.23
2016-06-15,82.38,82.0
