Date,Open,Close
2020-06-18,30.75,29.76
2020-06-19,29.05,30.24
2020-06-22,30.48,28.75
2020-06-23,27.49,28.19
2020-06-24,29.28,30.14
2020-06-25,30.7,28.96
2020-06-26,29.05,30.77
2020-06-29,30.25,29.28
2020-06-30,29.54,27.76
2020-07-01,27.36,26.98
2020-07-02,25.87,26.52
2020-07-06,25.66,26.5
2020-07-07,26.71,27.28
2020-07-08,26.95,26.66
2020-07-09,26.74,27.1
2020-07-10,27.3,26.41
2020-07-13,26.08,28.93
2020-07-14,28.93,27.21
2020-07-15,26.41,26.49
2020-07-16,27.04,26.01
2020-07-17,25.79,25.08
2020-07-20,24.79,23.92
2020-07-21,23.35,24.13
2020-07-22,24.31,23.87
2020-07-23,23.7,24.6
2020-07-24,25.43,24.7
2020-07-27,24.44,24.01
2020-07-28,24.05,23.87
2020-07-29,23.57,23.38
2020-07-30,24.51,23.93
2020-07-31,23.33,23.44
2020-08-03,23.21,23.3
2020-08-04,23.25,22.6
2020-08-05,22.3,22.15
2020-08-06,22.24,21.9
2020-08-07,22.21,21.75
2020-08-10,21.46,21.1
2020-08-11,20.62,22.09
2020-08-12,21.25,20.89
2020-08-13,21.06,20.89
2020-08-14,21.06,20.91
2020-08-17,20.42,20.11
2020-08-18,19.99,19.92
2020-08-19,19.78,20.31
2020-08-20,21.11,20.09
2020-08-21,20.44,20.18
2020-08-24,19.63,20.11
2020-08-25,20.2,19.97
2020-08-26,19.85,20.43
2020-08-27,20.22,21.08
2020-08-28,21.33,20.97
2020-08-31,21.52,21.97
2020-09-01,22.01,22.37
2020-09-02,22.3,22.97
2020-09-03,23.19,26.01
2020-09-04,25.37,23.84
2020-09-08,25.64,23.16
2020-09-09,22.58,21.99
2020-09-10,21.78,22.24
2020-09-11,21.65,20.88
2020-09-14,20.66,20.55
2020-09-15,20.35,20.54
2020-09-16,20.38,20.42
2020-09-17,21.09,19.97
2020-09-18,19.84,19.98
2020-09-21,20.83,20.64
2020-09-22,20.62,20.78
2020-09-23,20.68,21.89
2020-09-24,21.91,21.5
2020-09-25,21.5,20.92
2020-09-28,20.73,20.85
2020-09-29,20.91,20.44
2020-09-30,20.17,20.41
2020-10-01,20.19,20.51
2020-10-02,21.53,21.09
2020-10-05,20.92,20.47
2020-10-06,20.29,20.73
2020-10-07,20.33,20.08
2020-10-08,19.82,19.29
2020-10-09,18.68,18.27
2020-10-12,17.95,17.93
2020-10-13,18.13,18.12
2020-10-14,17.99,17.97
2020-10-15,18.74,18.11
2020-10-16,18.09,18.23
2020-10-19,18.15,19.04
2020-10-20,18.91,19.03
2020-10-21,18.93,18.57
2020-10-22,18.55,18.15
2020-10-23,18.12,18.17
2020-10-26,18.62,19.76
2020-10-27,19.8,19.85
2020-10-28,21.39,22.71
2020-10-29,22.27,20.8
2020-10-30,21.43,21.73
2020-11-02,20.74,21.26
2020-11-03,20.61,20.14
2020-11-04,19.25,18.37
2020-11-05,17.76,18.02
2020-11-06,17.86,16.85
2020-11-09,15.68,16.47
2020-11-10,16.06,15.94
2020-11-11,15.7,15.62
2020-11-12,15.83,16.67
2020-11-13,16.12,15.64
2020-11-16,15.25,15.24
2020-11-17,15.58,15.0
2020-11-18,14.84,15.56
2020-11-19,15.4,15.27
2020-11-20,15.26,15.22
2020-11-23,15.05,15.03
2020-11-24,14.74,14.8
2020-11-25,14.83,14.26
2020-11-27,14.12,14.35
2020-11-30,14.43,14.07
2020-12-01,13.95,14.18
2020-12-02,14.23,14.12
2020-12-03,13.98,14.23
2020-12-04,14.08,14.02
2020-12-07,14.17,14.1
2020-12-08,14.21,13.61
2020-12-09,13.46,14.1
2020-12-10,14.19,14.22
2020-12-11,14.56,14.76
2020-12-14,14.27,15.11
2020-12-15,14.75,14.4
2020-12-16,14.38,13.9
2020-12-17,13.96,13.75
2020-12-18,13.84,14.08
2020-12-21,15.39,15.1
2020-12-22,14.93,14.81
2020-12-23,14.53,14.24
2020-12-24,14.04,13.85
2020-12-28,13.62,13.75
2020-12-29,13.56,14.29
2020-12-30,14.2,13.75
2020-12-31,13.75,13.74
2021-01-04,13.74,15.05
2021-01-05,15.31,14.48
2021-01-06,14.31,14.39
2021-01-07,13.74,13.51
2021-01-08,13.44,13.38
2021-01-11,13.89,14.2
2021-01-12,13.88,13.72
2021-01-13,13.71,13.5
2021-01-14,13.4,13.67
2021-01-15,13.87,14.01
2021-01-19,13.66,13.62
2021-01-20,13.44,13.34
2021-01-21,13.35,13.23
2021-01-22,13.58,13.42
