Date,Open,Close
2015-12-31,102.88,102.0
2016-01-04,100.2,100.25
2016-01-05,100.67,100.45
2016-01-06,99.1,99.31
2016-01-07,97.87,96.78
2016-01-08,97.55,95.84
2016-01-11,96.37,96.04
2016-01-12,96.74,96.87
2016-01-13,97.0,94.01
2016-01-14,94.18,95.41
2016-01-15,93.08,93.49
2016-01-19,94.71,93.69
2016-01-20,92.08,93.05
2016-01-21,93.4,93.37
2016-01-22,95.0,95.66
2016-01-25,95.43,94.2
2016-01-26,94.63,95.18
2016-01-27,94.7,93.59
2016-01-28,94.64,94.13
2016-01-29,94.35,96.17
2016-02-01,95.84,96.61
2016-02-02,96.15,94.85
2016-02-03,95.5,94.94
2016-02-04,95.05,95.14
2016-02-05,94.75,92.57
2016-02-08,91.72,91.01
2016-02-09,90.26,91.14
2016-02-10,91.84,91.32
2016-02-11,90.08,90.57
2016-02-12,91.43,92.04
2016-02-16,93.09,93.81
2016-02-17,94.74,95.6
2016-02-18,95.84,94.98
2016-02-19,94.79,95.19
2016-02-22,96.07,96.38
2016-02-23,96.21,95.44
2016-02-24,94.53,95.96
2016-02-25,96.4,97.03
2016-02-26,97.67,96.99
2016-02-29,96.97,96.22
2016-03-01,97.29,98.5
2016-03-02,98.74,98.73
2016-03-03,98.64,98.96
2016-03-04,99.28,99.13
2016-03-07,98.94,98.81
2016-03-08,98.41,98.08
2016-03-09,98.52,98.52
2016-03-10,99.32,98.43
2016-03-11,99.37,100.02
2016-03-14,99.91,100.23
2016-03-15,99.7,99.88
2016-03-16,99.65,100.6
2016-03-17,100.28,101.03
2016-03-18,101.27,101.4
2016-03-21,101.03,101.28
2016-03-22,101.12,101.39
2016-03-23,101.38,100.77
2016-03-24,100.47,100.73
2016-03-28,101.12,100.84
2016-03-29,100.86,102.05
2016-03-30,102.68,102.5
2016-03-31,102.4,102.38
2016-04-01,101.88,103.16
2016-04-04,103.32,102.88
2016-04-05,102.26,102.19
2016-04-06,102.31,103.29
2016-04-07,102.88,102.0
2016-04-08,102.65,102.05
2016-04-11,102.57,101.7
2016-04-12,101.91,102.4
2016-04-13,103.12,103.54
2016-04-14,103.7,103.52
2016-04-15,103.52,103.52
2016-04-18,103.33,104.07
2016-04-19,104.18,103.95
2016-04-20,103.85,103.95
2016-04-21,104.12,103.53
2016-04-22,103.13,103.13
2016-04-25,102.97,103.1
2016-04-26,103.11,103.05
2016-04-27,102.63,102.81
2016-04-28,102.7,101.92
2016-04-29,101.81,101.42
2016-05-02,101.63,102.3
2016-05-03,101.76,101.53
2016-05-04,100.97,101.03
2016-05-05,101.47,100.95
2016-05-06,100.68,101.22
2016-05-09,101.5,101.77
2016-05-10,102.22,102.97
2016-05-11,102.7,101.8
2016-05-12,102.27,101.64
2016-05-13,101.48,100.9
2016-05-16,101.28,101.96
2016-05-17,101.92,100.87
2016-05-18,100.66,100.74
2016-05-19,100.4,100.29
2016-05-20,100.84,100.99
2016-05-23,101.16,100.79
2016-05-24,101.12,102.29
2016-05-25,102.61,102.83
2016-05-26,103.0,102.92
2016-05-27,103.06,103.38
2016-05-31,103.5,103.37
2016-06-01,103.09,103.51
2016-06-02,103.35,103.85
2016-06-03,103.76,103.69
2016-06-06,103.81,104.05
2016-06-07,104.14,104.1
2016-06-08,104.13,104.4
2016-06-09,104.15,104.28
2016-06-10,103.47,103.29
2016-06-13,103.01,102.69
2016-06-14,102.36,102.34
2016-06-15,102.56,102.21
2016-06-16,101.87,102.55
2016-06-17,102.53,101.89
2016-06-20,102.84,102.69
2016-06-21,102.49,102.34
2016-06-22,102.48,102.08
2016-06-23,103.03,103.17
2016-06-24,99.58,99.77
2016-06-27,99.08,98.06
2016-06-28,99.12,99.76
2016-06-29,100.66,101.43
2016-06-30,101.67,102.37
2016-07-01,102.71,103.03
2016-07-05,102.54,102.52
2016-07-06,102.17,103.16
2016-07-07,103.25,103.32
2016-07-08,103.98,104.88
2016-07-11,105.2,105.27
2016-07-12,105.78,105.81
2016-07-13,106.06,105.72
2016-07-14,106.3,106.23
2016-07-15,106.85,106.05
2016-07-18,106.1,106.32
2016-07-19,106.19,106.17
2016-07-20,106.54,107.01
2016-07-21,106.95,106.6
2016-07-22,106.54,107.05
2016-07-25,107.07,106.91
2016-07-26,106.87,106.79
2016-07-27,107.28,106.97
2016-07-28,107.02,107.36
2016-07-29,107.27,107.46
2016-08-01,107.47,107.69
2016-08-02,107.69,106.97
2016-08-03,106.93,107.14
2016-08-04,107.21,107.39
2016-08-05,107.66,107.91
2016-08-08,108.16,107.71
2016-08-09,107.71,107.94
2016-08-10,107.94,107.71
2016-08-11,108.15,108.25
2016-08-12,108.22,108.09
2016-08-15,108.38,108.47
2016-08-16,108.32,107.68
2016-08-17,107.72,107.79
2016-08-18,107.83,107.87
2016-08-19,107.79,107.89
2016-08-22,107.86,107.97
2016-08-23,108.37,108.25
2016-08-24,108.27,107.5
2016-08-25,107.38,107.27
2016-08-26,107.43,107.13
2016-08-29,107.29,107.54
2016-08-30,107.47,107.17
2016-08-31,107.09,106.96
2016-09-01,106.88,107.11
2016-09-02,107.46,107.53
2016-09-06,107.71,107.86
2016-09-07,107.85,107.84
2016-09-08,107.53,107.33
2016-09-09,106.73,104.73
2016-09-12,104.32,106.19
2016-09-13,105.67,104.96
2016-09-14,105.09,105.13
2016-09-15,105.24,106.36
2016-09-16,106.18,106.04
2016-09-19,106.47,105.94
2016-09-20,106.07,105.73
2016-09-21,106.06,106.75
