Date,Open,Close
2015-12-31,81.96,81.52
2016-01-04,80.36,80.53
2016-01-05,80.66,80.79
2016-01-06,79.59,79.64
2016-01-07,78.21,77.78
2016-01-08,78.4,76.86
2016-01-11,77.27,76.81
2016-01-12,77.55,77.28
2016-01-13,77.7,75.67
2016-01-14,76.03,76.9
2016-01-15,75.0,75.24
2016-01-19,76.05,75.25
2016-01-20,74.06,74.1
2016-01-21,74.26,74.44
2016-01-22,75.67,75.76
2016-01-25,75.46,74.44
2016-01-26,74.8,75.72
2016-01-27,75.53,75.33
2016-01-28,75.95,75.65
2016-01-29,76.23,77.64
2016-02-01,77.16,77.51
2016-02-02,76.62,75.98
2016-02-03,76.45,76.6
2016-02-04,76.39,76.85
2016-02-05,76.71,76.0
2016-02-08,75.2,75.18
2016-02-09,74.39,75.09
2016-02-10,75.47,74.9
2016-02-11,73.73,73.67
2016-02-12,74.46,75.32
2016-02-16,76.23,76.48
2016-02-17,77.03,77.62
2016-02-18,77.73,77.51
2016-02-19,77.17,77.35
2016-02-22,78.03,78.43
2016-02-23,78.12,77.43
2016-02-24,76.69,77.67
2016-02-25,77.86,78.59
2016-02-26,79.05,78.4
2016-02-29,78.46,77.72
2016-03-01,78.36,79.43
2016-03-02,79.29,80.08
2016-03-03,80.06,80.5
2016-03-04,80.55,80.81
2016-03-07,80.44,81.1
2016-03-08,80.64,80.16
2016-03-09,80.63,80.61
2016-03-10,80.86,80.61
2016-03-11,81.3,81.89
2016-03-14,81.59,81.68
2016-03-15,81.08,81.45
2016-03-16,81.25,81.86
2016-03-17,81.89,82.52
2016-03-18,82.83,82.89
2016-03-21,82.16,82.41
2016-03-22,82.1,82.29
2016-03-23,82.19,81.71
2016-03-24,81.17,81.66
2016-03-28,81.85,81.69
2016-03-29,81.49,82.22
2016-03-30,82.65,82.53
2016-03-31,82.53,82.39
2016-04-01,81.76,82.76
2016-04-04,82.68,82.4
2016-04-05,81.94,81.63
2016-04-06,81.64,82.34
2016-04-07,81.81,81.37
2016-04-08,81.91,81.67
2016-04-11,81.96,81.6
2016-04-12,81.69,82.43
2016-04-13,82.9,83.36
2016-04-14,83.31,83.38
