Date,Open,Close
2015-12-31,45.22,45.11
2016-01-04,44.48,44.33
2016-01-05,44.34,44.25
2016-01-06,43.42,43.5
2016-01-07,42.74,42.6
2016-01-08,42.92,42.1
2016-01-11,42.5,42.19
2016-01-12,42.5,42.29
2016-01-13,42.59,41.71
2016-01-14,41.86,42.27
2016-01-15,41.0,40.64
2016-01-19,41.36,41.12
2016-01-20,40.22,40.11
2016-01-21,40.06,40.45
2016-01-22,41.49,41.66
2016-01-25,41.39,40.96
2016-01-26,41.32,41.75
2016-01-27,41.73,41.55
2016-01-28,41.91,41.82
2016-01-29,42.0,42.65
2016-02-01,42.31,42.47
2016-02-02,41.99,41.5
2016-02-03,41.84,42.03
2016-02-04,41.94,42.23
2016-02-05,42.07,41.66
2016-02-08,41.0,40.92
2016-02-09,40.05,40.36
2016-02-10,40.59,40.35
2016-02-11,39.8,39.73
2016-02-12,39.95,40.39
2016-02-16,41.06,41.23
2016-02-17,41.58,42.03
2016-02-18,42.2,41.85
2016-02-19,41.47,41.7
2016-02-22,42.07,42.17
2016-02-23,41.96,41.54
2016-02-24,40.9,41.44
2016-02-25,41.65,41.87
2016-02-26,42.1,41.75
2016-02-29,41.77,41.6
2016-03-01,42.25,42.78
2016-03-02,42.78,43.19
2016-03-03,43.2,43.65
2016-03-04,43.94,44.11
2016-03-07,43.64,44.05
2016-03-08,43.75,43.44
2016-03-09,43.71,43.75
2016-03-10,44.03,43.67
2016-03-11,44.44,44.79
2016-03-14,44.69,44.55
2016-03-15,43.94,43.92
2016-03-16,43.68,44.52
2016-03-17,44.61,45.0
2016-03-18,45.06,44.93
2016-03-21,45.0,44.98
2016-03-22,44.65,44.89
2016-03-23,44.72,44.31
2016-03-24,43.85,44.07
2016-03-28,44.44,44.36
2016-03-29,44.18,44.82
2016-03-30,45.22,45.27
2016-03-31,45.15,44.92
2016-04-01,44.02,44.47
2016-04-04,44.65,44.28
2016-04-05,43.55,43.51
2016-04-06,43.67,44.18
2016-04-07,43.83,43.5
2016-04-08,44.34,44.39
2016-04-11,44.73,44.47
2016-04-12,44.87,45.21
2016-04-13,45.89,45.88
2016-04-14,45.92,45.83
2016-04-15,45.78,45.72
2016-04-18,45.64,46.07
2016-04-19,46.76,46.91
2016-04-20,46.74,46.81
2016-04-21,46.79,46.51
2016-04-22,46.4,46.48
2016-04-25,46.27,46.25
2016-04-26,46.43,46.44
2016-04-27,46.31,46.58
2016-04-28,46.1,46.04
2016-04-29,46.09,45.89
2016-05-02,46.09,46.19
2016-05-03,45.63,45.26
2016-05-04,44.97,44.74
2016-05-05,44.9,44.68
2016-05-06,44.5,44.8
2016-05-09,44.82,44.56
2016-05-10,44.93,45.29
2016-05-11,45.1,44.99
2016-05-12,45.4,44.99
2016-05-13,44.61,44.38
2016-05-16,44.72,45.03
2016-05-17,44.9,44.69
2016-05-18,44.59,44.62
2016-05-19,44.31,44.28
2016-05-20,44.65,44.64
2016-05-23,44.52,44.48
2016-05-24,44.78,45.08
2016-05-25,45.34,45.55
2016-05-26,45.64,45.66
2016-05-27,45.54,45.56
2016-05-31,45.73,45.44
2016-06-01,45.26,45.45
2016-06-02,45.28,45.54
2016-06-03,45.78,45.95
2016-06-06,46.09,46.29
2016-06-07,46.59,46.68
2016-06-08,46.84,46.85
2016-06-09,46.29,46.23
2016-06-10,45.43,44.99
2016-06-13,44.43,44.35
2016-06-14,43.48,43.29
2016-06-15,43.68,43.63
2016-06-16,42.96,43.59
2016-06-17,43.78,43.92
2016-06-20,45.14,44.93
2016-06-21,45.22,45.23
2016-06-22,45.45,45.22
2016-06-23,46.05,46.41
2016-06-24,42.98,42.82
2016-06-27,42.43,42.05
2016-06-28,43.01,43.1
2016-06-29,43.78,43.95
2016-06-30,44.05,44.48
2016-07-01,44.56,44.6
2016-07-05,44.16,43.83
2016-07-06,43.38,43.74
2016-07-07,43.91,43.56
2016-07-08,44.06,44.31
2016-07-11,44.86,44.85
2016-07-12,45.38,45.47
2016-07-13,45.58,45.46
2016-07-14,45.8,45.85
2016-07-15,45.8,45.66
2016-07-18,45.65,45.82
2016-07-19,45.54,45.4
2016-07-20,45.69,45.76
2016-07-21,45.74,45.72
2016-07-22,45.82,45.79
2016-07-25,45.81,45.64
2016-07-26,45.79,45.83
2016-07-27,46.03,46.05
2016-07-28,46.04,46.04
2016-07-29,46.28,46.49
2016-08-01,46.49,46.27
2016-08-02,46.25,46.09
2016-08-03,45.77,46.01
2016-08-04,46.05,46.26
2016-08-05,46.23,46.47
2016-08-08,46.58,46.64
2016-08-09,46.8,47.0
2016-08-10,47.31,47.09
2016-08-11,47.36,47.47
2016-08-12,47.49,47.3
2016-08-15,47.42,47.59
2016-08-16,47.5,47.42
2016-08-17,47.32,47.42
2016-08-18,47.41,47.67
2016-08-19,47.28,47.35
2016-08-22,47.16,47.29
2016-08-23,47.6,47.43
2016-08-24,47.45,47.32
2016-08-25,47.23,47.23
2016-08-26,47.31,46.89
2016-08-29,46.9,47.07
2016-08-30,47.07,46.94
2016-08-31,46.88,46.7
2016-09-01,46.86,47.0
2016-09-02,47.49,47.54
2016-09-06,47.8,48.03
2016-09-07,48.22,48.09
2016-09-08,48.12,48.02
2016-09-09,47.6,46.95
2016-09-12,46.62,47.34
2016-09-13,46.41,45.91
2016-09-14,46.05,45.95
2016-09-15,46.08,46.4
2016-09-16,46.0,45.91
2016-09-19,46.47,46.22
2016-09-20,46.59,46.36
2016-09-21,46.83,47.27
2016-09-22,47.9,47.74
2016-09-23,47.38,47.24
2016-09-26,46.93,46.8
2016-09-27,46.79,47.09
2016-09-28,47.2,47.5
2016-09-29,47.45,46.96
2016-09-30,47.09,47.21
2016-10-03,47.19,47.18
2016-10-04,47.41,47.01
2016-10-05,47.31,47.35
2016-10-06,47.1,47.15
2016-10-07,47.06,46.85
2016-10-10,47.04,47.06
2016-10-11,46.79,46.32
2016-10-12,46.29,46.26
2016-10-13,45.79,46.07
2016-10-14,46.44,46.15
2016-10-17,46.14,46.06
2016-10-18,46.68,46.61
2016-10-19,46.74,46.77
2016-10-20,46.68,46.75
2016-10-21,46.51,46.69
2016-10-24,46.9,46.74
2016-10-25,46.72,46.69
2016-10-26,46.5,46.43
2016-10-27,46.5,46.32
2016-10-28,46.26,46.27
2016-10-31,46.21,46.31
2016-11-01,46.42,46.13
2016-11-02,46.01,45.74
2016-11-03,45.92,45.7
2016-11-04,45.44,45.26
2016-11-07,46.0,46.12
2016-11-08,45.97,46.27
2016-11-09,45.53,45.96
2016-11-10,45.91,45.66
2016-11-11,45.29,45.19
2016-11-14,44.88,44.91
2016-11-15,44.87,45.35
2016-11-16,44.9,44.88
2016-11-17,45.02,45.16
2016-11-18,44.91,44.78
2016-11-21,45.11,45.18
2016-11-22,45.42,45.4
2016-11-23,44.98,45.19
2016-11-25,45.38,45.37
2016-11-28,45.31,45.2
2016-11-29,45.13,45.42
2016-11-30,45.57,45.38
2016-12-01,45.44,45.26
2016-12-02,45.14,45.38
2016-12-05,45.51,45.74
2016-12-06,45.78,45.98
2016-12-07,46.19,46.64
2016-12-08,46.55,46.67
2016-12-09,46.64,46.81
2016-12-12,46.64,46.54
2016-12-13,46.91,47.0
2016-12-14,46.9,46.15
2016-12-15,45.9,46.12
2016-12-16,46.03,46.03
2016-12-19,46.1,45.98
2016-12-20,45.68,45.73
2016-12-21,45.73,45.66
2016-12-22,45.58,45.44
2016-12-23,45.5,45.57
2016-12-27,45.57,45.58
2016-12-28,45.7,45.55
2016-12-29,45.67,45.8
2016-12-30,46.08,45.88
2017-01-03,46.15,46.21
2017-01-04,46.47,46.72
2017-01-05,46.87,47.07
2017-01-06,46.96,46.97
2017-01-09,46.86,46.88
2017-01-10,46.97,46.96
2017-01-11,46.97,47.31
2017-01-12,47.45,47.38
2017-01-13,47.41,47.52
2017-01-17,47.46,47.4
2017-01-18,47.31,47.15
2017-01-19,47.15,47.11
2017-01-20,47.2,47.3
2017-01-23,47.35,47.52
2017-01-24,47.53,47.71
2017-01-25,48.02,48.21
2017-01-26,48.15,48.06
2017-01-27,48.04,47.95
2017-01-30,47.63,47.64
2017-01-31,47.73,47.75
2017-02-01,48.04,47.91
2017-02-02,48.01,47.97
2017-02-03,48.14,48.19
2017-02-06,47.88,47.91
2017-02-07,47.85,47.86
2017-02-08,47.9,48.01
2017-02-09,48.04,48.14
2017-02-10,48.2,48.4
2017-02-13,48.6,48.59
2017-02-14,48.47,48.55
2017-02-15,48.46,48.82
2017-02-16,48.83,48.86
2017-02-17,48.55,48.65
2017-02-21,48.77,48.93
2017-02-22,48.74,48.94
2017-02-23,49.13,48.99
2017-02-24,48.53,48.6
2017-02-27,48.52,48.56
2017-02-28,48.52,48.39
2017-03-01,48.76,48.95
2017-03-02,48.7,48.53
2017-03-03,48.61,48.77
2017-03-06,48.67,48.65
2017-03-07,48.56,48.54
2017-03-08,48.51,48.25
2017-03-09,48.33,48.31
2017-03-10,48.67,48.76
2017-03-13,48.88,49.03
2017-03-14,48.75,48.69
2017-03-15,48.82,49.48
2017-03-16,49.79,49.77
2017-03-17,49.82,49.76
2017-03-20,49.84,49.86
2017-03-21,50.2,49.51
2017-03-22,49.39,49.6
2017-03-23,49.54,49.71
2017-03-24,49.68,49.73
2017-03-27,49.58,49.8
2017-03-28,49.78,49.96
2017-03-29,49.81,50.02
2017-03-30,49.91,49.82
2017-03-31,49.61,49.68
2017-04-03,49.68,49.67
2017-04-04,49.5,49.71
2017-04-05,49.73,49.49
2017-04-06,49.51,49.49
2017-04-07,49.42,49.44
2017-04-10,49.39,49.4
2017-04-11,49.57,49.54
2017-04-12,49.5,49.55
2017-04-13,49.43,49.27
2017-04-17,49.57,49.67
2017-04-18,49.25,49.33
2017-04-19,49.38,49.11
2017-04-20,49.5,49.56
2017-04-21,49.53,49.54
2017-04-24,50.52,50.59
2017-04-25,50.81,50.89
2017-04-26,50.79,50.77
2017-04-27,50.79,50.7
2017-04-28,50.76,50.7
2017-05-01,50.92,50.93
2017-05-02,51.07,51.23
2017-05-03,51.04,51.08
2017-05-04,51.11,51.21
2017-05-05,51.26,51.7
2017-05-08,51.48,51.43
