Date,Open,Close
2018-01-02,83.82,85.03
2018-01-03,85.16,86.7
2018-01-04,86.79,86.82
2018-01-05,86.75,86.75
2018-01-08,86.7,87.14
2018-01-09,86.94,86.77
2018-01-10,87.0,86.08
2018-01-11,86.36,86.93
2018-01-12,87.2,87.52
2018-01-16,87.74,86.97
2018-01-17,87.2,88.0
2018-01-18,87.77,87.43
2018-01-19,87.57,87.15
2018-01-22,87.17,88.25
2018-01-23,88.25,88.3
2018-01-24,88.49,88.53
2018-01-25,88.55,88.37
2018-01-26,88.64,89.0
2018-01-29,88.59,88.01
2018-01-30,87.54,86.78
2018-01-31,86.56,87.3
2018-02-01,87.5,89.07
2018-02-02,85.13,84.53
2018-02-05,83.28,79.72
2018-02-06,78.51,78.35
2018-02-07,78.44,76.94
2018-02-08,77.44,76.07
2018-02-09,76.25,75.78
2018-02-12,77.05,76.42
2018-02-13,76.1,76.3
2018-02-14,75.79,76.46
2018-02-15,76.62,76.21
2018-02-16,76.15,76.54
2018-02-20,76.47,75.75
2018-02-21,75.82,74.89
2018-02-22,75.3,75.86
2018-02-23,76.09,77.53
2018-02-26,77.74,78.84
2018-02-27,79.0,77.5
2018-02-28,78.16,75.74
2018-03-01,75.53,75.2
2018-03-02,74.89,75.55
2018-03-05,75.23,76.27
2018-03-06,76.67,76.18
2018-03-07,75.0,74.26
2018-03-08,74.5,74.12
2018-03-09,74.82,74.56
2018-03-12,74.87,75.24
2018-03-13,75.33,74.53
2018-03-14,74.64,73.6
2018-03-15,74.35,74.42
2018-03-16,74.36,75.12
2018-03-19,75.0,74.15
2018-03-20,74.22,73.99
2018-03-21,74.23,75.04
2018-03-22,74.42,73.5
2018-03-23,73.81,72.89
2018-03-26,73.65,74.0
2018-03-27,74.0,73.7
2018-03-28,73.74,72.81
2018-03-29,73.33,74.61
2018-04-02,74.27,73.22
2018-04-03,73.45,75.02
2018-04-04,74.05,74.87
2018-04-05,75.06,76.02
2018-04-06,75.64,74.87
2018-04-09,75.22,74.87
2018-04-10,76.08,77.07
2018-04-11,77.11,77.43
2018-04-12,77.86,77.22
2018-04-13,77.8,77.84
2018-04-16,78.12,78.54
2018-04-17,78.54,78.33
2018-04-18,79.04,79.22
2018-04-19,79.32,79.42
2018-04-20,79.32,79.0
2018-04-23,78.92,79.57
2018-04-24,79.8,78.35
2018-04-25,78.2,79.5
2018-04-26,79.6,80.86
2018-04-27,76.95,77.79
2018-04-30,77.91,77.75
2018-05-01,77.26,76.95
2018-05-02,76.45,76.8
2018-05-03,76.39,76.54
2018-05-04,76.13,76.9
2018-05-07,77.74,77.74
2018-05-08,77.8,78.09
2018-05-09,78.98,79.93
