Date,Open,Close
2018-01-02,29.38,29.37
2018-01-03,29.41,29.33
2018-01-04,29.47,29.69
2018-01-05,29.8,29.91
2018-01-08,29.89,30.26
2018-01-09,30.28,30.19
2018-01-10,30.17,30.35
2018-01-11,31.96,31.86
2018-01-12,31.72,32.77
2018-01-16,32.85,32.35
2018-01-17,32.43,31.92
2018-01-18,31.82,31.37
2018-01-19,31.47,31.8
2018-01-22,32.64,32.64
2018-01-23,32.57,32.58
2018-01-24,32.66,32.36
2018-01-25,32.48,32.38
2018-01-26,32.76,32.83
2018-01-29,32.79,32.84
2018-01-30,32.62,32.68
2018-01-31,33.88,34.13
2018-02-01,34.1,32.75
2018-02-02,32.51,31.63
2018-02-05,31.8,31.38
2018-02-06,30.94,30.85
2018-02-07,30.73,31.18
2018-02-08,31.25,29.8
2018-02-09,30.08,29.61
2018-02-12,29.84,29.95
2018-02-13,29.74,29.17
2018-02-14,29.0,29.79
2018-02-15,30.0,30.5
2018-02-16,30.43,30.55
2018-02-20,30.36,31.03
2018-02-21,31.15,30.38
2018-02-22,30.5,30.23
2018-02-23,30.53,30.87
2018-02-26,30.92,31.12
2018-02-27,31.04,30.25
2018-02-28,30.34,30.32
2018-03-01,30.36,30.55
2018-03-02,30.34,30.06
2018-03-05,29.93,30.29
2018-03-06,30.3,30.04
2018-03-07,29.78,29.83
2018-03-08,29.9,29.83
2018-03-09,29.98,29.92
2018-03-12,29.98,29.69
2018-03-13,29.84,31.34
2018-03-14,31.54,30.75
2018-03-15,30.75,31.05
2018-03-16,31.13,31.1
2018-03-19,30.99,30.19
2018-03-20,30.31,30.82
2018-03-21,30.71,30.86
2018-03-22,30.54,29.8
2018-03-23,29.82,28.8
2018-03-26,29.29,29.4
2018-03-27,29.46,29.0
2018-03-28,28.83,28.85
2018-03-29,29.09,28.78
2018-04-02,28.68,28.06
2018-04-03,28.26,27.92
2018-04-04,27.63,28.31
2018-04-05,28.45,28.28
2018-04-06,28.09,27.98
2018-04-09,28.19,27.53
2018-04-10,27.9,28.32
2018-04-11,28.1,28.25
2018-04-12,28.41,28.23
2018-04-13,28.42,28.17
2018-04-16,28.36,29.06
2018-04-17,29.19,29.98
2018-04-18,30.01,30.27
2018-04-19,30.06,30.33
2018-04-20,30.45,31.54
2018-04-23,31.52,31.2
2018-04-24,31.3,30.7
2018-04-25,30.69,30.64
2018-04-26,30.75,30.42
2018-04-27,30.94,31.28
2018-04-30,31.28,31.45
2018-05-01,31.35,32.29
2018-05-02,32.05,29.38
2018-05-03,29.24,28.31
2018-05-04,28.12,28.38
2018-05-07,28.4,28.46
2018-05-08,28.59,28.38
2018-05-09,28.68,28.83
2018-05-10,28.94,29.33
2018-05-11,29.75,30.17
2018-05-14,28.89,28.87
2018-05-15,28.59,28.51
2018-05-16,28.42,28.55
2018-05-17,28.55,28.47
2018-05-18,28.49,28.19
2018-05-21,28.3,27.98
2018-05-22,28.04,28.13
2018-05-23,28.06,28.03
2018-05-24,28.0,28.11
2018-05-25,28.06,27.91
2018-05-29,27.65,27.75
2018-05-30,27.96,27.78
2018-05-31,27.71,27.18
2018-06-01,27.34,27.35
2018-06-04,27.47,27.37
2018-06-05,27.42,27.68
2018-06-06,27.75,27.68
2018-06-07,27.68,27.48
2018-06-08,27.42,27.91
2018-06-11,27.9,28.12
2018-06-12,28.18,27.73
2018-06-13,27.78,27.58
2018-06-14,27.74,27.74
2018-06-15,27.62,27.41
2018-06-18,27.17,27.24
2018-06-19,27.03,27.53
2018-06-20,27.64,27.25
2018-06-21,27.24,26.45
2018-06-22,26.58,26.4
2018-06-25,26.3,25.45
2018-06-26,25.5,25.33
2018-06-27,25.31,24.51
2018-06-28,24.12,24.13
2018-06-29,24.25,24.0
2018-07-02,23.8,24.2
2018-07-03,24.33,24.28
2018-07-05,24.38,24.19
2018-07-06,24.15,24.39
2018-07-09,24.56,25.02
2018-07-10,25.17,25.27
2018-07-11,25.02,25.01
2018-07-12,25.15,25.16
2018-07-13,25.16,25.27
2018-07-16,25.24,24.97
2018-07-17,24.92,25.0
2018-07-18,24.99,25.33
2018-07-19,25.34,25.18
2018-07-20,25.21,25.09
2018-07-23,25.07,25.1
2018-07-24,25.2,24.8
2018-07-25,24.88,24.77
2018-07-26,24.62,25.69
2018-07-27,25.51,25.59
2018-07-30,25.57,25.73
2018-07-31,25.79,25.97
2018-08-01,25.91,25.49
2018-08-02,25.31,25.68
2018-08-03,25.8,26.14
2018-08-06,26.12,26.1
2018-08-07,26.16,26.63
2018-08-08,26.68,26.54
2018-08-09,26.51,26.35
2018-08-10,26.14,26.23
2018-08-13,26.19,25.99
2018-08-14,26.06,26.15
2018-08-15,26.0,26.15
2018-08-16,26.34,26.83
2018-08-17,26.78,26.94
2018-08-20,27.05,27.25
2018-08-21,27.24,27.81
2018-08-22,27.79,27.65
2018-08-23,27.7,27.45
2018-08-24,27.42,27.4
2018-08-27,27.56,27.69
2018-08-28,27.78,27.64
2018-08-29,27.6,27.95
2018-08-30,27.85,27.68
2018-08-31,27.62,27.86
2018-09-04,27.67,27.57
2018-09-05,27.47,27.3
2018-09-06,27.36,27.02
2018-09-07,26.92,26.97
2018-09-10,27.13,27.08
2018-09-11,26.92,27.17
2018-09-12,27.08,27.4
2018-09-13,27.53,27.75
2018-09-14,27.8,28.07
2018-09-17,28.14,28.08
2018-09-18,28.07,28.02
2018-09-19,28.1,28.28
2018-09-20,28.46,28.49
2018-09-21,28.57,28.0
2018-09-24,27.95,27.27
2018-09-25,27.23,27.14
2018-09-26,27.15,27.1
2018-09-27,26.9,26.85
2018-09-28,26.72,26.98
2018-10-01,27.07,27.08
2018-10-02,27.08,27.03
2018-10-03,27.09,27.2
2018-10-04,27.21,27.11
2018-10-05,27.04,26.2
2018-10-08,26.03,26.56
2018-10-09,26.49,26.21
2018-10-10,26.13,25.52
2018-10-11,25.44,24.74
2018-10-12,25.07,25.22
2018-10-15,25.21,25.69
2018-10-16,25.87,26.4
2018-10-17,26.5,26.74
2018-10-18,26.59,26.71
2018-10-19,26.76,26.87
2018-10-22,26.96,26.4
2018-10-23,26.18,26.65
2018-10-24,26.73,27.37
2018-10-25,27.61,27.74
2018-10-26,27.19,27.39
2018-10-29,27.83,27.46
2018-10-30,27.59,28.21
2018-10-31,28.28,27.87
2018-11-01,27.94,28.52
2018-11-02,28.54,28.32
2018-11-05,28.38,28.62
2018-11-06,28.61,29.0
2018-11-07,29.16,29.03
2018-11-08,28.94,29.14
2018-11-09,29.09,28.43
2018-11-12,28.37,27.31
2018-11-13,27.3,27.33
2018-11-14,27.57,27.0
2018-11-15,26.76,27.14
2018-11-16,27.04,27.04
2018-11-19,26.99,26.53
2018-11-20,26.23,25.29
2018-11-21,25.41,25.19
2018-11-23,24.96,25.37
2018-11-26,25.63,25.84
2018-11-27,25.59,26.12
2018-11-28,26.22,27.0
2018-11-29,26.88,26.88
2018-11-30,26.92,26.92
2018-12-03,27.29,27.5
2018-12-04,27.32,26.7
2018-12-06,26.25,26.64
2018-12-07,26.5,25.51
2018-12-10,25.44,25.0
2018-12-11,25.29,25.04
2018-12-12,25.34,25.17
2018-12-13,25.28,24.75
2018-12-14,24.5,24.45
2018-12-17,24.3,21.29
2018-12-18,21.59,21.07
2018-12-19,21.25,20.67
2018-12-20,20.58,19.56
2018-12-21,19.72,19.33
2018-12-24,18.98,18.92
2018-12-26,19.01,19.7
2018-12-27,19.5,19.68
2018-12-28,19.57,19.65
2018-12-31,19.7,19.76
2019-01-02,19.48,20.13
2019-01-03,19.92,19.69
2019-01-04,20.12,20.45
2019-01-07,20.49,20.89
2019-01-08,21.09,21.58
2019-01-09,21.69,21.89
2019-01-10,21.74,22.15
2019-01-11,21.94,22.14
2019-01-14,21.91,22.3
2019-01-15,22.36,22.81
2019-01-16,22.72,23.11
2019-01-17,23.1,23.12
2019-01-18,23.27,23.43
2019-01-22,23.38,23.38
2019-01-23,23.41,23.57
2019-01-24,23.59,23.92
2019-01-25,24.22,24.54
2019-01-28,24.21,24.3
2019-01-29,25.66,27.07
2019-01-30,27.6,28.16
2019-01-31,28.06,28.21
2019-02-01,28.34,28.52
2019-02-04,28.55,28.68
2019-02-05,28.74,28.98
2019-02-06,29.06,29.43
2019-02-07,29.2,28.98
2019-02-08,28.73,29.09
2019-02-11,29.28,29.29
2019-02-12,29.45,30.09
2019-02-13,30.22,30.0
2019-02-14,29.72,29.83
2019-02-15,30.1,30.46
2019-02-19,30.47,30.65
2019-02-20,30.74,30.87
2019-02-21,30.9,31.33
2019-02-22,31.03,31.49
2019-02-25,31.7,31.48
2019-02-26,31.41,31.47
2019-02-27,31.38,31.42
2019-02-28,31.21,30.9
2019-03-01,31.11,31.29
2019-03-04,31.38,31.36
2019-03-05,31.38,31.09
2019-03-06,31.04,30.85
2019-03-07,30.82,30.24
2019-03-08,29.86,30.3
2019-03-11,30.45,31.15
2019-03-12,31.19,31.13
2019-03-13,31.22,31.55
2019-03-14,31.51,31.08
