None,ticker,date,open,close
0,COP,2018-03-27,59.15,59.14
1,COP,2018-03-26,58.37,59.08
2,COP,2018-03-23,57.04,57.74
3,COP,2018-03-22,56.41,56.5
4,COP,2018-03-21,55.1,57.04
5,COP,2018-03-20,54.1,54.7
6,COP,2018-03-19,54.76,53.57
7,COP,2018-03-16,54.11,54.93
8,COP,2018-03-15,54.31,54.03
9,COP,2018-03-14,54.34,53.96
10,COP,2018-03-13,54.94,53.96
11,COP,2018-03-12,55.01,54.74
12,COP,2018-03-09,54.07,55.06
13,COP,2018-03-08,54.13,53.57
14,COP,2018-03-07,53.31,54.07
15,COP,2018-03-06,54.28,54.06
16,COP,2018-03-05,53.49,53.99
17,COP,2018-03-02,53.54,54.06
18,COP,2018-03-01,54.5,53.88
19,COP,2018-02-28,56.02,54.31
20,COP,2018-02-27,56.5,55.83
21,COP,2018-02-26,57.26,56.59
22,COP,2018-02-23,55.35,57.05
23,COP,2018-02-22,54.26,54.91
24,COP,2018-02-21,54.59,53.75
25,COP,2018-02-20,54.6,54.84
26,COP,2018-02-16,54.39,54.65
27,COP,2018-02-15,55.64,54.54
28,COP,2018-02-14,52.7,55.51
29,COP,2018-02-13,52.93,53.32
30,COP,2018-02-12,52.63,53.41
31,COP,2018-02-09,53.24,52.02
32,COP,2018-02-08,55.62,53.24
33,COP,2018-02-07,56.06,55.63
34,COP,2018-02-06,54.75,55.94
35,COP,2018-02-05,57.14,55.94
36,COP,2018-02-02,59.17,57.72
37,COP,2018-02-01,59.0,59.35
38,COP,2018-01-31,58.53,58.81
39,COP,2018-01-30,58.94,58.46
40,COP,2018-01-29,59.92,59.66
41,COP,2018-01-26,59.7,60.39
42,COP,2018-01-25,60.75,59.48
43,COP,2018-01-24,60.54,60.49
44,COP,2018-01-23,60.61,60.47
45,COP,2018-01-22,59.86,60.67
46,COP,2018-01-19,59.68,59.75
47,COP,2018-01-18,59.62,59.76
48,COP,2018-01-17,58.97,59.86
49,COP,2018-01-16,60.0,58.84
50,COP,2018-01-12,59.39,60.05
51,COP,2018-01-11,58.17,59.18
52,COP,2018-01-10,58.14,57.65
53,COP,2018-01-09,57.47,57.93
54,COP,2018-01-08,56.76,57.46
55,COP,2018-01-05,56.68,56.88
56,COP,2018-01-04,56.41,56.99
57,COP,2018-01-03,55.38,56.34
58,COP,2018-01-02,55.09,55.32
