None,ticker,date,open,close
0,HD,2018-03-27,177.38,174.68
1,HD,2018-03-26,174.11,176.38
2,HD,2018-03-23,176.24,171.8
3,HD,2018-03-22,177.42,175.29
4,HD,2018-03-21,178.35,178.02
5,HD,2018-03-20,177.64,178.16
6,HD,2018-03-19,178.65,177.1
7,HD,2018-03-16,178.43,178.96
8,HD,2018-03-15,177.69,178.07
9,HD,2018-03-14,179.1,177.41
10,HD,2018-03-13,179.59,178.35
11,HD,2018-03-12,182.43,179.71
12,HD,2018-03-09,179.0,182.16
13,HD,2018-03-08,179.44,177.94
14,HD,2018-03-07,178.82,178.58
15,HD,2018-03-06,182.75,181.64
16,HD,2018-03-05,177.86,181.74
17,HD,2018-03-02,177.72,178.46
18,HD,2018-03-01,182.75,179.64
19,HD,2018-02-28,184.41,182.27
20,HD,2018-02-27,188.87,184.98
21,HD,2018-02-26,189.17,188.46
22,HD,2018-02-23,186.2,188.35
23,HD,2018-02-22,183.72,185.47
24,HD,2018-02-21,187.21,183.06
25,HD,2018-02-20,189.9,186.71
26,HD,2018-02-16,185.06,186.97
27,HD,2018-02-15,186.74,185.27
28,HD,2018-02-14,181.88,184.69
29,HD,2018-02-13,183.23,183.72
30,HD,2018-02-12,186.55,184.06
31,HD,2018-02-09,183.25,184.12
32,HD,2018-02-08,191.14,181.22
33,HD,2018-02-07,190.73,191.29
34,HD,2018-02-06,178.62,191.04
35,HD,2018-02-05,190.07,183.11
36,HD,2018-02-02,199.25,193.97
37,HD,2018-02-01,199.34,199.9
38,HD,2018-01-31,203.22,200.9
39,HD,2018-01-30,201.47,201.81
40,HD,2018-01-29,207.23,204.92
41,HD,2018-01-26,205.6,207.23
42,HD,2018-01-25,206.8,205.37
43,HD,2018-01-24,205.2,206.22
44,HD,2018-01-23,204.89,204.9
45,HD,2018-01-22,201.6,204.46
46,HD,2018-01-19,199.81,201.33
47,HD,2018-01-18,199.78,198.33
48,HD,2018-01-17,197.5,199.82
49,HD,2018-01-16,197.86,196.31
50,HD,2018-01-12,195.5,196.42
51,HD,2018-01-11,191.68,194.68
52,HD,2018-01-10,192.76,191.8
53,HD,2018-01-09,192.7,193.1
54,HD,2018-01-08,191.72,192.04
55,HD,2018-01-05,190.93,192.5
56,HD,2018-01-04,189.87,190.51
57,HD,2018-01-03,188.0,189.01
58,HD,2018-01-02,190.21,188.03
