None,ticker,date,open,close
0,MSFT,2018-03-27,94.94,89.47
1,MSFT,2018-03-26,90.61,93.78
2,MSFT,2018-03-23,89.5,87.18
3,MSFT,2018-03-22,91.265,89.79
4,MSFT,2018-03-21,92.93,92.48
5,MSFT,2018-03-20,93.05,93.13
6,MSFT,2018-03-19,93.74,92.89
7,MSFT,2018-03-16,94.68,94.6
8,MSFT,2018-03-15,93.53,94.18
9,MSFT,2018-03-14,95.12,93.85
10,MSFT,2018-03-13,97.0,94.41
11,MSFT,2018-03-12,96.5,96.77
12,MSFT,2018-03-09,95.29,96.54
13,MSFT,2018-03-08,94.27,94.43
14,MSFT,2018-03-07,93.16,93.86
15,MSFT,2018-03-06,94.34,93.32
16,MSFT,2018-03-05,92.34,93.64
17,MSFT,2018-03-02,91.58,93.05
18,MSFT,2018-03-01,93.99,92.85
19,MSFT,2018-02-28,94.84,93.77
20,MSFT,2018-02-27,95.74,94.2
21,MSFT,2018-02-26,94.4,95.42
22,MSFT,2018-02-23,92.75,94.06
23,MSFT,2018-02-22,92.05,91.74
24,MSFT,2018-02-21,92.98,91.49
25,MSFT,2018-02-20,91.475,92.72
26,MSFT,2018-02-16,92.45,92.0
27,MSFT,2018-02-15,91.21,92.66
28,MSFT,2018-02-14,88.51,90.81
29,MSFT,2018-02-13,88.93,89.83
30,MSFT,2018-02-12,88.735,89.13
31,MSFT,2018-02-09,86.3,88.1
32,MSFT,2018-02-08,89.71,84.89
33,MSFT,2018-02-07,90.49,89.61
34,MSFT,2018-02-06,86.89,91.33
35,MSFT,2018-02-05,90.56,89.05
36,MSFT,2018-02-02,93.64,91.78
37,MSFT,2018-02-01,94.79,94.26
38,MSFT,2018-01-31,93.75,95.01
39,MSFT,2018-01-30,93.3,92.74
40,MSFT,2018-01-29,95.14,93.92
41,MSFT,2018-01-26,93.12,94.06
42,MSFT,2018-01-25,92.465,92.33
43,MSFT,2018-01-24,92.55,91.82
44,MSFT,2018-01-23,91.9,91.9
45,MSFT,2018-01-22,90.0,91.61
46,MSFT,2018-01-19,90.14,90.0
47,MSFT,2018-01-18,89.8,90.1
48,MSFT,2018-01-17,89.08,90.14
49,MSFT,2018-01-16,90.1,88.35
50,MSFT,2018-01-12,88.67,89.58
51,MSFT,2018-01-11,88.13,88.08
52,MSFT,2018-01-10,87.86,87.82
53,MSFT,2018-01-09,88.65,88.22
54,MSFT,2018-01-08,88.2,88.28
55,MSFT,2018-01-05,87.66,88.19
56,MSFT,2018-01-04,86.59,87.11
57,MSFT,2018-01-03,86.055,86.35
58,MSFT,2018-01-02,86.125,85.95
