None,ticker,date,open,close
0,NVDA,2018-03-27,247.75,225.52
1,NVDA,2018-03-26,238.0,244.48
2,NVDA,2018-03-23,242.4,232.97
3,NVDA,2018-03-22,246.0,241.85
4,NVDA,2018-03-21,249.32,248.56
5,NVDA,2018-03-20,241.12,249.58
6,NVDA,2018-03-19,248.18,241.0
7,NVDA,2018-03-16,250.0,250.48
8,NVDA,2018-03-15,249.29,249.34
9,NVDA,2018-03-14,249.45,248.74
10,NVDA,2018-03-13,251.49,247.71
11,NVDA,2018-03-12,247.0,249.76
12,NVDA,2018-03-09,243.1,245.33
13,NVDA,2018-03-08,242.95,241.18
14,NVDA,2018-03-07,238.0,241.84
15,NVDA,2018-03-06,239.1,242.16
16,NVDA,2018-03-05,234.51,235.65
17,NVDA,2018-03-02,227.86,236.54
18,NVDA,2018-03-01,241.91,232.21
19,NVDA,2018-02-28,246.5,242.0
20,NVDA,2018-02-27,245.5,246.06
21,NVDA,2018-02-26,247.8,246.58
22,NVDA,2018-02-23,244.57,245.93
23,NVDA,2018-02-22,242.73,242.15
24,NVDA,2018-02-21,251.69,241.51
25,NVDA,2018-02-20,244.75,249.08
26,NVDA,2018-02-16,245.4,243.84
27,NVDA,2018-02-15,244.785,246.5
28,NVDA,2018-02-14,231.0,241.42
29,NVDA,2018-02-13,226.56,232.63
30,NVDA,2018-02-12,235.355,228.03
31,NVDA,2018-02-09,238.25,230.93
32,NVDA,2018-02-08,233.88,217.52
33,NVDA,2018-02-07,229.58,228.8
34,NVDA,2018-02-06,204.4,225.58
35,NVDA,2018-02-05,227.0,215.19
36,NVDA,2018-02-02,237.0,233.52
37,NVDA,2018-02-01,238.52,240.5
38,NVDA,2018-01-31,245.77,245.8
39,NVDA,2018-01-30,241.11,242.72
40,NVDA,2018-01-29,242.74,246.85
41,NVDA,2018-01-26,238.12,243.33
42,NVDA,2018-01-25,238.0,236.35
43,NVDA,2018-01-24,239.04,235.8
44,NVDA,2018-01-23,235.85,238.91
45,NVDA,2018-01-22,230.43,233.69
46,NVDA,2018-01-19,228.09,230.11
47,NVDA,2018-01-18,223.94,224.44
48,NVDA,2018-01-17,220.7,224.72
49,NVDA,2018-01-16,224.05,220.11
50,NVDA,2018-01-12,223.6,222.759
51,NVDA,2018-01-11,225.0,224.019
52,NVDA,2018-01-10,218.2,223.68
53,NVDA,2018-01-09,222.22,221.94
54,NVDA,2018-01-08,220.4,222.0
55,NVDA,2018-01-05,214.19,215.4
56,NVDA,2018-01-04,215.76,213.59
57,NVDA,2018-01-03,204.1,212.47
58,NVDA,2018-01-02,195.78,199.35
