None,ticker,date,open,close
0,MU,2018-03-27,55.06,52.4
1,MU,2018-03-26,56.26,55.56
2,MU,2018-03-23,57.69,54.21
3,MU,2018-03-22,60.07,58.97
4,MU,2018-03-21,61.35,61.07
5,MU,2018-03-20,60.1,61.15
6,MU,2018-03-19,60.36,60.14
7,MU,2018-03-16,60.0,60.58
8,MU,2018-03-15,59.77,58.84
9,MU,2018-03-14,59.32,59.78
10,MU,2018-03-13,62.17,59.43
11,MU,2018-03-12,56.5,59.37
12,MU,2018-03-09,55.76,54.59
13,MU,2018-03-08,54.585,55.22
14,MU,2018-03-07,53.34,53.97
15,MU,2018-03-06,53.4,53.74
16,MU,2018-03-05,48.8,52.03
17,MU,2018-03-02,46.36,49.11
18,MU,2018-03-01,48.77,47.62
19,MU,2018-02-28,48.8,48.81
20,MU,2018-02-27,47.66,48.58
21,MU,2018-02-26,46.97,47.98
22,MU,2018-02-23,45.18,46.53
23,MU,2018-02-22,44.78,44.25
24,MU,2018-02-21,45.37,44.54
25,MU,2018-02-20,44.02,44.89
26,MU,2018-02-16,43.29,44.21
27,MU,2018-02-15,43.725,43.5
28,MU,2018-02-14,41.93,43.45
29,MU,2018-02-13,42.05,42.63
30,MU,2018-02-12,41.01,42.19
31,MU,2018-02-09,41.05,40.35
32,MU,2018-02-08,42.52,40.0
33,MU,2018-02-07,43.26,42.01
34,MU,2018-02-06,40.55,43.88
35,MU,2018-02-05,40.14,39.62
36,MU,2018-02-02,42.0,40.82
37,MU,2018-02-01,43.04,42.49
38,MU,2018-01-31,42.98,43.72
39,MU,2018-01-30,41.99,41.67
40,MU,2018-01-29,43.25,43.29
41,MU,2018-01-26,43.22,43.67
42,MU,2018-01-25,44.23,43.01
43,MU,2018-01-24,43.76,43.08
44,MU,2018-01-23,43.25,43.95
45,MU,2018-01-22,42.47,42.88
46,MU,2018-01-19,43.95,42.75
47,MU,2018-01-18,44.21,43.99
48,MU,2018-01-17,43.21,44.27
49,MU,2018-01-16,43.14,42.92
50,MU,2018-01-12,42.82,42.81
51,MU,2018-01-11,43.52,42.82
52,MU,2018-01-10,41.95,43.29
53,MU,2018-01-09,45.27,42.97
54,MU,2018-01-08,45.31,45.55
55,MU,2018-01-05,46.13,45.8
56,MU,2018-01-04,45.99,46.88
57,MU,2018-01-03,44.5,44.98
58,MU,2018-01-02,41.54,43.67
